D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate27.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28 09:16:56 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,Tm1,Tm2,Tm3,Tm4
E2,0,Sample 4,A,UNKNOWN,SYBR,None,33.711,33.058,0.923,,,,,,,,0,0.200,1,3,26,Amp,,0.990,N,N,N,Y,85.678,,,
E3,0,Sample 4,Acer,UNKNOWN,SYBR,None,32.204,31.899,0.431,,,,,,,,0,0.200,1,3,26,Amp,,0.996,N,N,N,N,74.398,,,
E4,0,Sample 4,A,UNKNOWN,SYBR,None,32.406,33.058,0.923,,,,,,,,0,0.200,1,3,26,Amp,,0.995,N,N,N,Y,85.975,,,
E5,0,Sample 11,Acer,UNKNOWN,SYBR,None,23.651,23.688,0.052,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,74.398,,,
E6,0,Sample 11,A,UNKNOWN,SYBR,None,23.535,23.451,0.118,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.233,,,
E7,0,Sample 11,Acer,UNKNOWN,SYBR,None,23.725,23.688,0.052,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
E8,0,Sample 11,A,UNKNOWN,SYBR,None,23.368,23.451,0.118,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.530,,,
E9,0,Sample 19,Acer,UNKNOWN,SYBR,None,22.509,22.481,0.039,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,74.250,,,
E10,0,Sample 19,A,UNKNOWN,SYBR,None,22.424,22.368,0.079,,,,,,,,0,0.200,1,3,16,Amp,,0.953,N,N,N,N,85.530,,,
E11,0,Sample 19,Acer,UNKNOWN,SYBR,None,22.454,22.481,0.039,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.250,,,
E12,0,Sample 19,A,UNKNOWN,SYBR,None,22.312,22.368,0.079,,,,,,,,0,0.200,1,3,17,Amp,,0.967,N,N,N,N,85.382,,,
F1,0,Sample 5,Acer,UNKNOWN,SYBR,None,21.652,21.767,0.163,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.101,,,
F2,0,Sample 5,A,UNKNOWN,SYBR,None,22.888,23.013,0.176,,,,,,,,0,0.200,1,3,18,Amp,,0.993,N,N,N,N,85.233,,,
F3,0,Sample 5,Acer,UNKNOWN,SYBR,None,21.882,21.767,0.163,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.398,,,
F4,0,Sample 5,A,UNKNOWN,SYBR,None,23.137,23.013,0.176,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.382,,,
F5,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.852,22.848,0.005,,,,,,,,0,0.200,1,3,18,Amp,,0.999,N,N,N,N,74.398,,,
