Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,NOAMP,Tm1,Tm2,Tm3,Tm4
F3,0,Sample 5,Acer,UNKNOWN,SYBR,None,20.847,20.570,0.391,,,,,,,,0,0.200,1,3,15,Amp,,0.968,N,N,N,N,N,74.429,,,
F4,0,Sample 5,A,UNKNOWN,SYBR,None,20.826,20.717,0.155,,,,,,,,0,0.200,1,3,16,Amp,,0.963,N,N,N,N,N,85.324,,,
F5,0,Sample 12,Acer,UNKNOWN,SYBR,None,21.944,22.107,0.231,,,,,,,,0,0.200,1,3,17,Amp,,0.994,N,N,N,N,N,74.429,,,
F6,0,Sample 12,A,UNKNOWN,SYBR,None,25.184,25.074,0.156,,,,,,,,0,0.200,1,3,21,Amp,,0.982,N,Y,N,N,N,85.472,75.754,,
F7,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.271,22.107,0.231,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,N,74.577,,,
F8,0,Sample 12,A,UNKNOWN,SYBR,None,24.963,25.074,0.156,,,,,,,,0,0.200,1,3,20,Amp,,0.977,N,Y,N,N,N,85.619,75.902,,
F9,0,Sample 20,Acer,UNKNOWN,SYBR,None,22.414,22.557,0.202,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,N,74.429,,,
F10,0,Sample 20,A,UNKNOWN,SYBR,None,23.098,23.229,0.186,,,,,,,,0,0.200,1,3,18,Amp,,0.994,N,N,N,N,N,85.472,,,
F11,0,Sample 20,Acer,UNKNOWN,SYBR,None,22.700,22.557,0.202,,,,,,,,0,0.200,1,3,18,Amp,,0.990,N,N,N,N,N,74.429,,,
F12,0,Sample 20,A,UNKNOWN,SYBR,None,23.361,23.229,0.186,,,,,,,,0,0.200,1,3,19,Amp,,0.991,N,N,N,N,N,85.472,,,
G1,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.915,24.323,0.577,,,,,,,,0,0.200,1,3,19,Amp,,0.992,N,N,N,Y,N,74.282,,,
G2,0,Sample 6,A,UNKNOWN,SYBR,None,21.203,21.278,0.105,,,,,,,,0,0.200,1,3,16,Amp,,0.990,N,N,N,N,N,85.177,,,
G3,0,Sample 6,Acer,UNKNOWN,SYBR,None,24.731,24.323,0.577,,,,,,,,0,0.200,1,3,20,Amp,,0.996,N,N,N,Y,N,74.429,,,
G4,0,Sample 6,A,UNKNOWN,SYBR,None,21.352,21.278,0.105,,,,,,,,0,0.200,1,3,16,Amp,,0.990,N,N,N,N,N,85.472,,,
G5,0,Sample 13,Acer,UNKNOWN,SYBR,None,23.791,23.754,0.052,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,N,74.429,,,
G6,0,Sample 13,A,UNKNOWN,SYBR,None,23.804,24.139,0.474,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,N,85.472,,,
G7,0,Sample 13,Acer,UNKNOWN,SYBR,None,23.718,23.754,0.052,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,N,74.429,,,
G8,0,Sample 13,A,UNKNOWN,SYBR,None,24.475,24.139,0.474,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,N,N,85.472,,,
G9,0,Sample 21,Acer,UNKNOWN,SYBR,None,21.446,21.602,0.220,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,N,74.429,,,
G10,0,Sample 21,A,UNKNOWN,SYBR,None,24.187,24.411,0.316,,,,,,,,0,0.200,1,3,19,Amp,,0.996,N,N,N,N,N,85.324,,,
G11,0,Sample 21,Acer,UNKNOWN,SYBR,None,21.758,21.602,0.220,,,,,,,,0,0.200,1,3,17,Amp,,0.991,N,N,N,N,N,74.429,,,
G12,0,Sample 21,A,UNKNOWN,SYBR,None,24.634,24.411,0.316,,,,,,,,0,0.200,1,3,20,Amp,,0.988,N,N,N,N,N,85.472,,,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,N,Y,N,N,60.001,,,
H2,0,+,A,UNKNOWN,SYBR,None,22.684,22.549,0.191,,,,,,,,0,0.200,1,3,18,Amp,,0.987,N,Y,N,N,N,84.883,82.674,75.460,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,21.862,21.910,0.068,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,N,74.282,,,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,25.225,25.454,0.324,,,,,,,,0,0.200,1,3,20,Amp,,0.993,N,N,N,N,N,85.472,,,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,21.958,21.910,0.068,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,N,74.282,,,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,25.683,25.454,0.324,,,,,,,,0,0.200,1,3,21,Amp,,0.990,N,N,N,N,N,85.324,,,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,21.335,21.425,0.127,,,,,,,,0,0.200,1,3,16,Amp,,0.994,N,N,N,N,N,74.429,,,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,24.056,24.228,0.243,,,,,,,,0,0.200,1,3,19,Amp,,0.996,N,N,N,N,N,85.619,,,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,21.514,21.425,0.127,,,,,,,,0,0.200,1,3,16,Amp,,0.995,N,N,N,N,N,74.282,,,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,24.400,24.228,0.243,,,,,,,,0,0.200,1,3,20,Amp,,0.988,N,N,N,N,N,85.472,,,
H11,0,+,Acer,UNKNOWN,SYBR,None,20.962,20.893,0.099,,,,,,,,0,0.200,1,3,16,Amp,,0.995,N,N,N,N,N,74.429,,,
H12,0,NTC,A,UNKNOWN,SYBR,None,38.532,38.532,,,,,,,,,0,0.200,1,3,32,No Amp,,0.551,Y,N,N,N,N,75.754,,,
