Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,PRFLOW,NOISE,HIGHSD,SPIKE,NOAMP,BADROX,Tm1,Tm2,Tm3,Tm4
F8,0,Sample 12,A,UNKNOWN,SYBR,None,25.929,25.971,0.059,,,,,,,,0,0.200,1,3,21,Amp,,0.988,N,N,N,N,N,N,N,N,85.248,,,
F9,0,Sample 20,Acer,UNKNOWN,SYBR,None,24.283,24.239,0.062,,,,,,,,0,0.200,1,3,19,Amp,,0.986,N,N,N,N,N,N,N,N,73.515,,,
F10,0,Sample 20,A,UNKNOWN,SYBR,None,25.071,24.883,0.266,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,N,N,N,N,85.099,,,
F11,0,Sample 20,Acer,UNKNOWN,SYBR,None,24.195,24.239,0.062,,,,,,,,0,0.200,1,3,19,Amp,,0.989,N,N,N,N,N,N,N,N,73.515,,,
F12,0,Sample 20,A,UNKNOWN,SYBR,None,24.696,24.883,0.266,,,,,,,,0,0.200,1,3,18,Amp,,0.987,N,N,N,N,N,N,N,N,85.099,,,
G1,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.186,23.153,0.047,,,,,,,,0,0.200,1,3,18,Amp,,0.993,N,N,N,N,N,N,N,N,73.218,,,
G2,0,Sample 6,A,UNKNOWN,SYBR,None,25.410,25.355,0.078,,,,,,,,0,0.200,1,3,21,Amp,,0.987,N,N,N,N,N,N,N,N,84.951,,,
G3,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.120,23.153,0.047,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,N,N,N,N,73.515,,,
G4,0,Sample 6,A,UNKNOWN,SYBR,None,25.300,25.355,0.078,,,,,,,,0,0.200,1,3,20,Amp,,0.986,N,N,N,N,N,N,N,N,85.248,,,
G5,0,Sample 13,Acer,UNKNOWN,SYBR,None,22.772,22.839,0.095,,,,,,,,0,0.200,1,3,17,Amp,,0.986,N,N,N,N,N,N,N,N,73.515,,,
G6,0,Sample 13,A,UNKNOWN,SYBR,None,26.486,26.508,0.032,,,,,,,,0,0.200,1,3,21,Amp,,0.990,N,N,N,N,N,N,N,N,85.099,,,
G7,0,Sample 13,Acer,UNKNOWN,SYBR,None,22.906,22.839,0.095,,,,,,,,0,0.200,1,3,17,Amp,,0.992,N,N,N,N,N,N,N,N,73.515,,,
G8,0,Sample 13,A,UNKNOWN,SYBR,None,26.531,26.508,0.032,,,,,,,,0,0.200,1,3,21,Amp,,0.985,N,N,N,N,N,N,N,N,85.248,,,
G9,0,Sample 21,Acer,UNKNOWN,SYBR,None,23.891,23.873,0.024,,,,,,,,0,0.200,1,3,19,Amp,,0.991,N,N,N,N,N,N,N,N,73.515,,,
G10,0,Sample 21,A,UNKNOWN,SYBR,None,25.029,25.118,0.125,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,N,N,N,N,N,85.099,,,
G11,0,Sample 21,Acer,UNKNOWN,SYBR,None,23.856,23.873,0.024,,,,,,,,0,0.200,1,3,18,Amp,,0.984,N,N,N,N,N,N,N,N,73.515,,,
G12,0,Sample 21,A,UNKNOWN,SYBR,None,25.207,25.118,0.125,,,,,,,,0,0.200,1,3,19,Amp,,0.984,N,N,N,N,N,N,N,N,85.099,,,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N,60.000,,,
H2,0,+,A,UNKNOWN,SYBR,None,24.835,24.873,0.054,,,,,,,,0,0.200,1,3,18,Amp,,0.986,N,N,N,N,N,N,N,N,84.802,,,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.000,22.062,0.089,,,,,,,,0,0.200,1,3,17,Amp,,0.979,N,N,N,N,N,N,N,N,73.367,,,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,26.341,26.418,0.108,,,,,,,,0,0.200,1,3,21,Amp,,0.975,N,N,N,N,N,N,N,N,85.099,,,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.125,22.062,0.089,,,,,,,,0,0.200,1,3,17,Amp,,0.983,N,N,N,N,N,N,N,N,73.367,,,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,26.494,26.418,0.108,,,,,,,,0,0.200,1,3,21,Amp,,0.979,N,N,N,N,N,N,N,N,84.951,,,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,24.499,24.688,0.268,,,,,,,,0,0.200,1,3,19,Amp,,0.995,N,N,N,N,N,N,N,N,73.515,,,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,24.834,24.703,0.185,,,,,,,,0,0.200,1,3,18,Amp,,0.985,N,N,N,N,N,N,N,N,85.099,,,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,24.877,24.688,0.268,,,,,,,,0,0.200,1,3,20,Amp,,0.980,N,N,N,N,N,N,N,N,73.367,,,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,24.572,24.703,0.185,,,,,,,,0,0.200,1,3,18,Amp,,0.964,N,N,N,N,N,N,N,N,85.099,,,
H11,0,+,Acer,UNKNOWN,SYBR,None,23.011,22.946,0.093,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,N,N,N,N,73.515,,,
H12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,Y,N,Y,N,Y,62.525,,,
