Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,20,20-30,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 3,Sample 3_Plate6.csv
O. fav,34,34-20,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 4,Sample 4_Plate6.csv
O. fav,34,34-36,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 5,Sample 5_Plate6.csv
O. fav,34,34-49,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 6,Sample 6_Plate6.csv
O. fav,20,20-2,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 7,Sample 7_Plate6.csv
O. fav,20,20-28,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 8,Sample 8_Plate6.csv
O. fav,20,20-46,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 9,Sample 9_Plate6.csv
O. fav,34,34-5,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 10,Sample 10_Plate6.csv
O. fav,34,34-38,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 11,Sample 11_Plate6.csv
O. fav,34,34-44,N,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 12,Sample 12_Plate6.csv
O. fav,20,20-17,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 13,Sample 13_Plate6.csv
O. fav,20,20-34,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 14,Sample 14_Plate6.csv
O. fav,20,20-40,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 15,Sample 15_Plate6.csv
O. fav,34,34-4,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 16,Sample 16_Plate6.csv
O. fav,34,34-9,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 17,Sample 17_Plate6.csv
O. fav,34,34-22,NP,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 18,Sample 18_Plate6.csv
O. fav,20,20-3,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 1,Sample 1_Plate7.csv
O. fav,20,20-4,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 2,Sample 2_Plate7.csv
O. fav,20,20-21,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 3,Sample 3_Plate7.csv
O. fav,34,34-8,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 4,Sample 4_Plate7.csv
O. fav,34,34-11,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 5,Sample 5_Plate7.csv
O. fav,34,34-23,Control,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 6,Sample 6_Plate7.csv
O. fav,20,20-29,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 7,Sample 7_Plate7.csv
O. fav,20,20-41,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 8,Sample 8_Plate7.csv
O. fav,20,20-45,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 9,Sample 9_Plate7.csv
O. fav,34,34-10,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 10,Sample 10_Plate7.csv
O. fav,34,34-24,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 11,Sample 11_Plate7.csv
O. fav,34,34-25,N,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 12,Sample 12_Plate7.csv
O. fav,20,20-11,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 13,Sample 13_Plate7.csv
O. fav,20,20-43,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 14,Sample 14_Plate7.csv
O. fav,20,20-50,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 15,Sample 15_Plate7.csv
O. fav,34,34-7,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 16,Sample 16_Plate7.csv
O. fav,34,34-21,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 17,Sample 17_Plate7.csv
O. fav,34,34-32,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate7,Sample 18,Sample 18_Plate7.csv
O. fav,31,31-8,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 1,Sample 1_Plate8.csv
O. fav,31,31-10,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 2,Sample 2_Plate8.csv
O. fav,6,6-49,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 3,Sample 3_Plate8.csv
O. fav,6,6-72,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 4,Sample 4_Plate8.csv
O. fav,6,6-82,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 5,Sample 5_Plate8.csv
O. fav,31,31-2,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 6,Sample 6_Plate8.csv
O. fav,31,31-11,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 7,Sample 7_Plate8.csv
O. fav,31,31-49,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-04-05,"Ofav, B, C, D",Plate8,Sample 8,Sample 8_Plate8.csv
O. fav,6,6-6,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate8,Sample 9,Sample 9_Plate8.csv
O. fav,6,6-83,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate8,Sample 10,Sample 10_Plate8.csv
O. fav,6,6-112,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate8,Sample 11,Sample 11_Plate8.csv
O. fav,31,31-34,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, B, C, D",Plate8,Sample 12,Sample 12_Plate8.csv
