Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,31,31-45,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 19,Rerun2,Sample 19_Rerun2.csv
O. fav,31,31-46,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 20,Rerun2,Sample 20_Rerun2.csv
O. fav,34,34-20,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 21,Rerun2,Sample 21_Rerun2.csv
O. fav,34,34-21,NP,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 22,Rerun2,Sample 22_Rerun2.csv
O. fav,6,6-83,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 1,Rerun3,Sample 1_Rerun3.csv
O. fav,6,6-112,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 2,Rerun3,Sample 2_Rerun3.csv
O. fav,20,20-19,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 3,Rerun3,Sample 3_Rerun3.csv
O. fav,34,34-49,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 4,Rerun3,Sample 4_Rerun3.csv
O. fav,6,6-9,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 5,Rerun3,Sample 5_Rerun3.csv
O. fav,6,6-96,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 6,Rerun3,Sample 6_Rerun3.csv
O. fav,20,20-46,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 7,Rerun3,Sample 7_Rerun3.csv
O. fav,34,34-44,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 8,Rerun3,Sample 8_Rerun3.csv
O. fav,6,6-61,NP,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 9,Rerun3,Sample 9_Rerun3.csv
O. fav,6,6-115,NP,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 10,Rerun3,Sample 10_Rerun3.csv
O. fav,20,20-17,NP,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 11,Rerun3,Sample 11_Rerun3.csv
O. fav,20,20-34,NP,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 12,Rerun3,Sample 12_Rerun3.csv
O. fav,34,34-9,NP,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 13,Rerun3,Sample 13_Rerun3.csv
O. fav,34,34-22,NP,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 14,Rerun3,Sample 14_Rerun3.csv
O. fav,6,6-85,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 15,Rerun3,Sample 15_Rerun3.csv
O. fav,6,6-116,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 16,Rerun3,Sample 16_Rerun3.csv
O. fav,20,20-3,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 17,Rerun3,Sample 17_Rerun3.csv
O. fav,20,20-4,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 18,Rerun3,Sample 18_Rerun3.csv
O. fav,34,34-8,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 19,Rerun3,Sample 19_Rerun3.csv
O. fav,34,34-23,Control,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 20,Rerun3,Sample 20_Rerun3.csv
O. fav,6,6-12,N,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 21,Rerun3,Sample 21_Rerun3.csv
O. fav,6,6-19,N,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 22,Rerun3,Sample 22_Rerun3.csv
O. fav,6,6-83,Control,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 1,Rerun4,Sample 1_Rerun4.csv
O. fav,6,6-112,Control,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 2,Rerun4,Sample 2_Rerun4.csv
O. fav,20,20-19,Control,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 3,Rerun4,Sample 3_Rerun4.csv
O. fav,20,20-30,Control,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 4,Rerun4,Sample 4_Rerun4.csv
O. fav,34,34-20,Control,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 5,Rerun4,Sample 5_Rerun4.csv
O. fav,34,34-49,Control,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 6,Rerun4,Sample 6_Rerun4.csv
O. fav,6,6-9,N,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 7,Rerun4,Sample 7_Rerun4.csv
O. fav,6,6-96,N,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 8,Rerun4,Sample 8_Rerun4.csv
O. fav,20,20-2,N,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 9,Rerun4,Sample 9_Rerun4.csv
O. fav,20,20-46,N,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 10,Rerun4,Sample 10_Rerun4.csv
O. fav,34,34-44,N,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 11,Rerun4,Sample 11_Rerun4.csv
O. fav,6,6-61,NP,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 12,Rerun4,Sample 12_Rerun4.csv
O. fav,6,6-115,NP,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 13,Rerun4,Sample 13_Rerun4.csv
O. fav,20,20-17,NP,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 14,Rerun4,Sample 14_Rerun4.csv
O. fav,20,20-34,NP,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 15,Rerun4,Sample 15_Rerun4.csv
O. fav,34,34-9,NP,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 16,Rerun4,Sample 16_Rerun4.csv
O. fav,34,34-22,NP,R1,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 17,Rerun4,Sample 17_Rerun4.csv
O. fav,6,6-85,Control,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 18,Rerun4,Sample 18_Rerun4.csv
O. fav,6,6-116,Control,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 19,Rerun4,Sample 19_Rerun4.csv
O. fav,20,20-3,Control,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 20,Rerun4,Sample 20_Rerun4.csv
O. fav,20,20-4,Control,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 21,Rerun4,Sample 21_Rerun4.csv
O. fav,34,34-8,Control,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 22,Rerun4,Sample 22_Rerun4.csv
O. fav,20,20-41,N,R2,2018-02-23,,,,,2018-11-06,"Ofav, C, D",Sample 1,Rerun5,Sample 1_Rerun5.csv
O. fav,34,34-24,N,R2,2018-02-23,,,,,2018-11-06,"Ofav, C, D",Sample 2,Rerun5,Sample 2_Rerun5.csv
O. fav,34,34-25,N,R2,2018-02-23,,,,,2018-11-06,"Ofav, C, D",Sample 3,Rerun5,Sample 3_Rerun5.csv
O. fav,6,6-49,NP,R2,2018-02-23,,,,,2018-11-06,"Ofav, C, D",Sample 4,Rerun5,Sample 4_Rerun5.csv
O. fav,6,6-72,NP,R2,2018-02-23,,,,,2018-11-06,"Ofav, C, D",Sample 5,Rerun5,Sample 5_Rerun5.csv
O. fav,34,34-32,NP,R2,2018-02-23,,,,,2018-11-06,"Ofav, C, D",Sample 6,Rerun5,Sample 6_Rerun5.csv
O. fav,34,34-23,Control,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 7,Rerun5,Sample 7_Rerun5.csv
O. fav,6,6-12,N,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 8,Rerun5,Sample 8_Rerun5.csv
O. fav,6,6-19,N,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 9,Rerun5,Sample 9_Rerun5.csv
O. fav,20,20-29,N,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 10,Rerun5,Sample 10_Rerun5.csv
O. fav,20,20-41,N,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 11,Rerun5,Sample 11_Rerun5.csv
O. fav,34,34-24,N,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 12,Rerun5,Sample 12_Rerun5.csv
O. fav,34,34-25,N,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 13,Rerun5,Sample 13_Rerun5.csv
O. fav,6,6-49,NP,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 14,Rerun5,Sample 14_Rerun5.csv
O. fav,6,6-72,NP,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 15,Rerun5,Sample 15_Rerun5.csv
O. fav,20,20-11,NP,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 16,Rerun5,Sample 16_Rerun5.csv
O. fav,20,20-50,NP,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 17,Rerun5,Sample 17_Rerun5.csv
O. fav,34,34-21,NP,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 18,Rerun5,Sample 18_Rerun5.csv
O. fav,34,34-32,NP,R2,2018-03-06,,,,,2018-11-06,"Ofav, C, D",Sample 19,Rerun5,Sample 19_Rerun5.csv
O. fav,31,31-34,Control,R1,2018-01-26,,,,,2018-11-06,"Ofav, B, C, D",Sample 1,Rerun6,Sample 1_Rerun6.csv
O. fav,31,31-41,Control,R1,2018-01-26,,,,,2018-11-06,"Ofav, B, C, D",Sample 2,Rerun6,Sample 2_Rerun6.csv
O. fav,31,31-45,Control,R1,2018-01-26,,,,,2018-11-06,"Ofav, B, C, D",Sample 3,Rerun6,Sample 3_Rerun6.csv
O. fav,31,31-25,N,R1,2018-02-23,,,,,2018-11-06,"Ofav, B, C, D",Sample 4,Rerun6,Sample 4_Rerun6.csv
O. fav,31,31-41,Control,R1,2018-02-23,,,,,2018-11-06,"Ofav, B, C, D",Sample 5,Rerun6,Sample 5_Rerun6.csv
O. fav,31,31-43,N,R1,2018-02-23,,,,,2018-11-06,"Ofav, B, C, D",Sample 6,Rerun6,Sample 6_Rerun6.csv
O. fav,31,31-45,Control,R1,2018-02-23,,,,,2018-11-06,"Ofav, B, C, D",Sample 7,Rerun6,Sample 7_Rerun6.csv
O. fav,31,31-46,Control,R2,2018-02-23,,,,,2018-11-06,"Ofav, B, C, D",Sample 8,Rerun6,Sample 8_Rerun6.csv
