,Sample.Name,File.Name,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,B.reps,C.reps,D.reps,Ofav.reps,B.Ofav,C.Ofav,D.Ofav,Sample.Plate,TotalSH,logB.SH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,B.Prp,Community,RanA
315,Sample 5,Plate9.csv,NA,NA,35.2999668122,23.2069406509,NA,NA,0.4574814498,0.0231477236,0,0,2,2,0,0,0.0001843173,Sample 5_Plate9.csv,0.0001843173,NA,NA,-3.7344339297,-3.7344339297,N,R1,31,31-30,2018-01-26,31-30_2018-01-26,1,0,0,D,2
311,Sample 12,Plate9.csv,NA,NA,38.1177616119,23.1671142579,NA,NA,0.8819979951,0.1304273002,0,0,2,2,0,0,2.54294153258315E-05,Sample 12_Plate9.csv,2.54294153258315E-05,NA,NA,-4.594663625,-4.594663625,NP,R1,31,31-40,2018-01-26,31-40_2018-01-26,1,0,0,D,2
9,Sample 4,Plate10.csv,27.8916711808,NA,33.2830486298,23.1641769409,0.1142415617,NA,0.5763989515,0.283863408,2,0,2,2,0.0911870923,0,0.0007241788,Sample 4_Plate10.csv,0.091911271,-1.0400666327,NA,-3.1401542175,-1.0366312281,Control,R2,31,31-46,2018-01-26,31-46_2018-01-26,0.0078791072,0,0.9921208928,B,2
14,Sample 9,Plate10.csv,27.8241806031,NA,NA,23.6885099411,0.1001274251,NA,NA,0.0555299902,2,0,0,2,0.1374326803,0,0,Sample 9_Plate10.csv,0.1374326803,-0.8619099836,NA,NA,-0.8619099836,N,R2,31,31-8,2018-01-26,31-8_2018-01-26,0,0,1,B,2
285,Sample 10,Plate7.csv,NA,NA,28.8519334793,20.7789211273,NA,NA,0.0162208047,0.0695146517,0,0,2,2,0,0,0.0029902728,Sample 10_Plate7.csv,0.0029902728,NA,NA,-2.5242891902,-2.5242891902,N,R2,34,34-10,2018-01-26,34-10_2018-01-26,1,0,0,D,2
296,Sample 5,Plate7.csv,NA,NA,29.9395275116,20.6371822358,NA,NA,0.0216466214,0.1856754123,0,0,2,2,0,0,0.001275395,Sample 5_Plate7.csv,0.001275395,NA,NA,-2.8943552749,-2.8943552749,Control,R2,34,34-11,2018-01-26,34-11_2018-01-26,1,0,0,D,2
278,Sample 4,Plate6.csv,NA,NA,28.9729347229,19.9459991455,NA,NA,0.219541248,0.2739342848,0,0,2,2,0,0,0.0015436588,Sample 4_Plate6.csv,0.0015436588,NA,NA,-2.8114486946,-2.8114486946,Control,R1,34,34-20,2018-01-26,34-20_2018-01-26,1,0,0,D,2
291,Sample 17,Plate7.csv,NA,33.6117156982,30.8782253266,20.1448574067,NA,NA,0.1216472688,0.7288801803,0,1,2,2,0,0,0.0004730031,Sample 17_Plate7.csv,0.0004730031,NA,NA,-3.3251360153,-3.3251360153,NP,R2,34,34-21,2018-01-26,34-21_2018-01-26,1,0,0,D,2
275,Sample 18,Plate6.csv,NA,29.7912391663,27.5063219071,19.740530014,NA,0.400887336,0.3512592533,0.2215535071,0,2,2,2,0,0.000099028,0.0036999289,Sample 18_Plate6.csv,0.003798957,NA,-4.0042418307,-2.4318066168,-2.4203356247,NP,R1,34,34-22,2018-01-26,34-22_2018-01-26,0.9739328354,0.0260671646,0,D,2
297,Sample 6,Plate7.csv,NA,31.7623771667,29.2932729722,19.5886068344,NA,NA,0.2002157379,0.2157338703,0,1,2,2,0,0,0.000965015,Sample 6_Plate7.csv,0.000965015,NA,NA,-3.0154659222,-3.0154659222,Control,R2,34,34-23,2018-01-26,34-23_2018-01-26,1,0,0,D,2
286,Sample 11,Plate7.csv,NA,NA,28.7623376847,19.5266704559,NA,NA,0.0164231096,0.2134613122,0,0,2,2,0,0,0.0013357243,Sample 11_Plate7.csv,0.0013357243,NA,NA,-2.8742831827,-2.8742831827,N,R2,34,34-24,2018-01-26,34-24_2018-01-26,1,0,0,D,2
292,Sample 18,Plate7.csv,NA,30.7641204834,28.4496803284,19.6833486557,NA,0.6804510911,0.5558987244,0.0008941876,0,2,2,2,0,4.84929278896742E-05,0.0018492724,Sample 18_Plate7.csv,0.0018977654,NA,-4.3143215934,-2.7329991023,-2.7217574827,NP,R2,34,34-32,2018-01-26,34-32_2018-01-26,0.9744473534,0.0255526466,0,D,2
279,Sample 5,Plate6.csv,NA,NA,27.7944507599,19.2841243744,NA,NA,0.1148848912,0.5589980351,0,0,2,2,0,0,0.0022083412,Sample 5_Plate6.csv,0.0022083412,NA,NA,-2.6559338318,-2.6559338318,Control,R1,34,34-36,2018-01-26,34-36_2018-01-26,1,0,0,D,2
268,Sample 11,Plate6.csv,NA,NA,28.8734769821,19.3831329346,NA,NA,0.1991475682,0.0794869332,0,0,2,2,0,0,0.0011195705,Sample 11_Plate6.csv,0.0011195705,NA,NA,-2.9509485443,-2.9509485443,N,R1,34,34-38,2018-01-26,34-38_2018-01-26,1,0,0,D,2
273,Sample 16,Plate6.csv,NA,31.9791625977,28.801276207,19.5416841507,NA,NA,0.2345886844,0.2977671476,0,1,2,2,0,0,0.001313756,Sample 16_Plate6.csv,0.001313756,NA,NA,-2.8814852734,-2.8814852734,NP,R1,34,34-4,2018-01-26,34-4_2018-01-26,1,0,0,D,2
269,Sample 12,Plate6.csv,NA,NA,27.5788917542,18.6410741806,NA,NA,0.2077967758,0.0608195883,0,0,2,2,0,0,0.0016420202,Sample 12_Plate6.csv,0.0016420202,NA,NA,-2.7846215023,-2.7846215023,N,R1,34,34-44,2018-01-26,34-44_2018-01-26,1,0,0,D,2
280,Sample 6,Plate6.csv,NA,30.2117256165,28.630227089,20.6050195694,NA,NA,0.39100272,0.1755642148,0,1,2,2,0,0,0.0030910177,Sample 6_Plate6.csv,0.0030910177,NA,NA,-2.5098985017,-2.5098985017,Control,R1,34,34-49,2018-01-26,34-49_2018-01-26,1,0,0,D,2
267,Sample 10,Plate6.csv,NA,NA,28.244805336,20.5247011185,NA,NA,0.6261646016,0.1190618124,0,0,2,2,0,0,0.0038189744,Sample 10_Plate6.csv,0.0038189744,NA,NA,-2.418053256,-2.418053256,N,R1,34,34-5,2018-01-26,34-5_2018-01-26,1,0,0,D,2
290,Sample 16,Plate7.csv,NA,30.2092422485,27.7017364502,19.4738550186,NA,NA,0.3533268091,0.1027965007,0,1,2,2,0,0,0.0026859045,Sample 16_Plate7.csv,0.0026859045,NA,NA,-2.5709094285,-2.5709094285,NP,R2,34,34-7,2018-01-26,34-7_2018-01-26,1,0,0,D,2
