"Sample","Date","Spp","Fragment","Treatment","Replicate","YII","Genotype","Days","Time_Point","Phase","TotalSH","logSH","D.Prp","Community","InitialCommunity","DaysF","Nutrients"
"Ac_265_T13",2018-01-30,"Ac","Ac_265","N","R2",0.584,"G_07",76,"T13","Nutrients",0.186473518608773,-0.729382834303884,0,"A","A","76","Nutrients"
"Ac_266_T13",2018-01-30,"Ac","Ac_266","N+P","R2",0.59,"G_07",76,"T13","Nutrients",0.027834976410858,-1.55540914240585,0,"A","A","76","Nutrients"
"Ac_267_T13",2018-01-30,"Ac","Ac_267","A","R1",0.523,"G_07",76,"T13","Nutrients",0.360118262904026,-0.443554853420934,0,"A","A","76","Ambient"
"Ac_268_T13",2018-01-30,"Ac","Ac_268","N","R1",0.587,"G_07",76,"T13","Nutrients",0.127984647917792,-0.892842121949426,0,"A","A","76","Nutrients"
"Ac_269_T13",2018-01-30,"Ac","Ac_269","N+P","R1",0.563,"G_07",76,"T13","Nutrients",0.034447489883048,-1.46284241873918,0,"A","A","76","Nutrients"
"Ac_270_T13",2018-01-30,"Ac","Ac_270","A","R2",0.497,"G_07",76,"T13","Nutrients",0.250094055371679,-0.601896631140187,0,"A","A","76","Ambient"
"Ac_271_T13",2018-01-30,"Ac","Ac_271","N","R2",0.596,"G_07",76,"T13","Nutrients",0.09565887738836,-1.0192747201283,0,"A","A","76","Nutrients"
"Ac_272_T13",2018-01-30,"Ac","Ac_272","N+P","R2",0.586,"G_07",76,"T13","Nutrients",0.132911944818673,-0.876435987185739,0,"A","A","76","Nutrients"
"Ac_273_T13",2018-01-30,"Ac","Ac_273","A","R1",0.467,"G_07",76,"T13","Nutrients",0.147935753171273,-0.829926852855653,0,"A","A","76","Ambient"
"Ac_274_T13",2018-01-30,"Ac","Ac_274","N","R1",0.565,"G_07",76,"T13","Nutrients",0.096457863847013,-1.01566236018033,0,"A","A","76","Nutrients"
"Ac_276_T13",2018-01-30,"Ac","Ac_276","N+P","R1",0.624,"G_48",76,"T13","Nutrients",0.188749230875315,-0.724114809379765,0,"A","A","76","Nutrients"
"Ac_277_T13",2018-01-30,"Ac","Ac_277","A","R2",0.583,"G_48",76,"T13","Nutrients",0.217568661398763,-0.662403660268648,0,"A","A","76","Ambient"
"Ac_278_T13",2018-01-30,"Ac","Ac_278","N","R2",0.619,"G_48",76,"T13","Nutrients",0.374241815538128,-0.426847688661584,0,"A","A","76","Nutrients"
"Ac_280_T13",2018-01-30,"Ac","Ac_280","N+P","R2",0.615,"G_48",76,"T13","Nutrients",0.513537904193643,-0.289427495640976,0,"A","A","76","Nutrients"
"Ac_281_T13",2018-01-30,"Ac","Ac_281","A","R1",0.577,"G_48",76,"T13","Nutrients",0.359619378866788,-0.444156913412261,0,"A","A","76","Ambient"
"Ac_282_T13",2018-01-30,"Ac","Ac_282","N","R1",0.624,"G_48",76,"T13","Nutrients",0.130176656547162,-0.885466887055659,0,"A","A","76","Nutrients"
"Ac_283_T13",2018-01-30,"Ac","Ac_283","N+P","R1",0.626,"G_48",76,"T13","Nutrients",0.242077797340814,-0.616045040936396,0,"A","A","76","Nutrients"
"Ac_284_T13",2018-01-30,"Ac","Ac_284","A","R2",0.594,"G_48",76,"T13","Nutrients",0.362748780872398,-0.440394038466463,0,"A","A","76","Ambient"
"Ac_285_T13",2018-01-30,"Ac","Ac_285","N","R2",0.607,"G_48",76,"T13","Nutrients",0.19311641049209,-0.714180819522854,0,"A","A","76","Nutrients"
"Ac_286_T13",2018-01-30,"Ac","Ac_286","N+P","R2",0.612,"G_48",76,"T13","Nutrients",0.341638547612676,-0.466433133091397,0,"A","A","76","Nutrients"
"Ac_287_T13",2018-01-30,"Ac","Ac_287","A","R1",0.569,"G_48",76,"T13","Nutrients",0.383564916010866,-0.416161123815512,0,"A","A","76","Ambient"
"Ac_288_T13",2018-01-30,"Ac","Ac_288","N","R1",0.618,"G_48",76,"T13","Nutrients",0.230293032904462,-0.637719200624202,0,"A","A","76","Nutrients"
"Ac_289_T13",2018-01-30,"Ac","Ac_289","N+P","R1",0.623,"G_48",76,"T13","Nutrients",0.151148929966555,-0.82059492299007,0,"A","A","76","Nutrients"
"Ac_290_T13",2018-01-30,"Ac","Ac_290","A","R2",0.601,"G_48",76,"T13","Nutrients",0.001171475640617,-2.93126673758808,0,"A","A","76","Ambient"
"Ac_299_T13",2018-01-30,"Ac","Ac_299","N","R2",0.563,"G_31",76,"T13","Nutrients",0.219690238163775,-0.658189240329352,0,"A","A","76","Nutrients"
