Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_155,2018-02-15,NH4+PO4,R2,0.58,G_31,92,T17,Ac_155_T17,Heat,Symbiodinium
Ac,Ac_247,2018-02-15,NH4+PO4,R2,0.583,G_31,92,T17,Ac_247_T17,Heat,Symbiodinium
Ac,Ac_250,2018-02-15,NH4+PO4,R1,0.601,G_31,92,T17,Ac_250_T17,Heat,Symbiodinium
Ac,Ac_178,2018-02-15,NH4+PO4,R1,0.594,G_48,92,T17,Ac_178_T17,Heat,Symbiodinium
Ac,Ac_184,2018-02-15,NH4+PO4,R1,0.573,G_48,92,T17,Ac_184_T17,Heat,Symbiodinium
Ac,Ac_188,2018-02-15,NH4+PO4,R2,0.599,G_48,92,T17,Ac_188_T17,Heat,Symbiodinium
Ac,Ac_276,2018-02-15,NH4+PO4,R1,0.595,G_48,92,T17,Ac_276_T17,Heat,Symbiodinium
Ac,Ac_280,2018-02-15,NH4+PO4,R2,0.598,G_48,92,T17,Ac_280_T17,Heat,Symbiodinium
Ac,Ac_286,2018-02-15,NH4+PO4,R2,0.585,G_48,92,T17,Ac_286_T17,Heat,Symbiodinium
Ac,Ac_289,2018-02-15,NH4+PO4,R1,0.598,G_48,92,T17,Ac_289_T17,Heat,Symbiodinium
Ac,Ac_101,2018-02-15,NH4+PO4,R1,0.59,G_50,92,T17,Ac_101_T17,Heat,Symbiodinium
Ac,Ac_104,2018-02-15,NH4+PO4,R2,0.576,G_50,92,T17,Ac_104_T17,Heat,Symbiodinium
Ac,Ac_107,2018-02-15,NH4+PO4,R1,0.568,G_50,92,T17,Ac_107_T17,Heat,Symbiodinium
Ac,Ac_118,2018-02-15,NH4+PO4,R1,0.588,G_62,92,T17,Ac_118_T17,Heat,Symbiodinium
Ac,Ac_124,2018-02-15,NH4+PO4,R1,0.578,G_62,92,T17,Ac_124_T17,Heat,Symbiodinium
Ac,Ac_128,2018-02-15,NH4+PO4,R2,0.593,G_62,92,T17,Ac_128_T17,Heat,Symbiodinium
Ac,Ac_222,2018-02-15,NH4+PO4,R1,0.574,G_62,92,T17,Ac_222_T17,Heat,Symbiodinium
Ac,Ac_225,2018-02-15,NH4+PO4,R2,0.599,G_62,92,T17,Ac_225_T17,Heat,Symbiodinium
Ac,Ac_228,2018-02-15,NH4+PO4,R1,0.59,G_62,92,T17,Ac_228_T17,Heat,Symbiodinium
Ac,Ac_229,2018-02-15,NH4+PO4,R2,0.582,G_62,92,T17,Ac_229_T17,Heat,Symbiodinium
Ac,Ac_162,2018-02-19,Ambient,R1,0.549,G_07,96,T18,Ac_162_T18,Heat,Symbiodinium
Ac,Ac_166,2018-02-19,Ambient,R2,0.499,G_07,96,T18,Ac_166_T18,Heat,Symbiodinium
Ac,Ac_169,2018-02-19,Ambient,R1,0.541,G_07,96,T18,Ac_169_T18,Heat,Symbiodinium
Ac,Ac_173,2018-02-19,Ambient,R2,0.516,G_07,96,T18,Ac_173_T18,Heat,Symbiodinium
Ac,Ac_261,2018-02-19,Ambient,R1,0.557,G_07,96,T18,Ac_261_T18,Heat,Symbiodinium
Ac,Ac_264,2018-02-19,Ambient,R2,0.529,G_07,96,T18,Ac_264_T18,Heat,Symbiodinium
Ac,Ac_273,2018-02-19,Ambient,R1,0.512,G_07,96,T18,Ac_273_T18,Heat,Symbiodinium
Ac,Ac_143,2018-02-19,Ambient,R1,0.551,G_08,96,T18,Ac_143_T18,Heat,Symbiodinium
Ac,Ac_231,2018-02-19,Ambient,R2,0.566,G_08,96,T18,Ac_231_T18,Heat,Symbiodinium
