Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate19_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 13:33:52 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
F9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
F10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
F11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
F12,,,,,,,,,,,,,,,,,,,,,N,N,N,N
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,20.6148033142,20.4799079895,0.190772146,,,,0,0.02,1,3,19,77.0711898804,,,,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,27.7434844971,27.5332489014,0.2973166704,,,,0,0.02,1,3,27,64.1067352295,,,,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,35.8599662781,35.8599662781,,,,,0,0.02,1,3,34,73.047744751,,,,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,20.3450107574,20.4799079895,0.190772146,,,,0,0.02,1,3,19,76.9179840088,,,,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,27.323015213,27.5332489014,0.2973166704,,,,0,0.02,1,3,25,84.3710021973,,,,N,N,Y,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.8599662781,,,,,0,0.02,1,3,39,73.0424041748,,,,N,N,Y,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,19.4060573578,19.5347194672,0.1819556952,,,,0,0.02,1,3,18,77.070098877,,,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,28.3141956329,27.7602977753,0.7833298445,,,,0,0.02,1,3,27,91.9743499756,,,,Y,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,31.2665271759,30.864944458,0.5679237247,,,,0,0.02,1,3,29,74.387336731,,,,Y,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,19.6633815765,19.5347194672,0.1819556952,,,,0,0.02,1,3,18,77.0693969727,,,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,27.2063999176,27.7602977753,0.7833298445,,,,0,0.02,1,3,25,65.2938537598,,,,Y,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.4633617401,30.864944458,0.5679237247,,,,0,0.02,1,3,28,72.4486160278,,,,Y,N,N,N
G9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
G10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
G11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
G12,,,,,,,,,,,,,,,,,,,,,N,N,N,N
H1,NTC,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,81.5416946411,,,,N,N,Y,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.8127307892,29.7355995178,0.1090814397,,,,0,0.02,1,3,28,66.3419876099,,,,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,27.8682556152,27.842420578,0.0365362614,,,,0,0.02,1,3,26,72.898727417,,,,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,19.2410774231,19.125202179,0.1638736874,,,,0,0.02,1,3,17,77.0670394897,,,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,34.6192626953,37.126083374,3.5451798439,,,,0,0.02,1,3,33,61.5647468567,,,,Y,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,28.53565979,28.8508720398,0.4457787871,,,,0,0.02,1,3,27,71.2536773682,,,,Y,N,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,19.0093250275,19.125202179,0.1638736874,,,,0,0.02,1,3,17,77.2191467285,,,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,39.6329040527,37.126083374,3.5451798439,,,,0,0.02,1,3,39,66.189994812,,,,Y,N,Y,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,29.1660861969,28.8508720398,0.4457787871,,,,0,0.02,1,3,27,73.344039917,,,,Y,N,Y,N
H7,,,,,,,,,,,,,,,,,,,,,N,N,N,N
H8,,,,,,,,,,,,,,,,,,,,,N,N,N,N
H9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
H10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,17.9493999481,18.1751976013,0.3193261027,,,,0,0.02,1,3,16,77.2182312012,,,,N,N,N,N
H12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4194602966,,,,N,Y,Y,N
H12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.6411590576,,,,N,Y,Y,N
