Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate37_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 16:30:23 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,22.31731987,22.3573246002,0.0565752313,,,,0,0.02,1,3,21,,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,37.350063324,37.350063324,,,,,0,0.02,1,3,35,,N,N,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,27.450756073,27.6304779053,0.2541637123,,,,0,0.02,1,3,25,,N,N,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,22.3973293304,22.3573246002,0.0565752313,,,,0,0.02,1,3,20,,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.350063324,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,27.8101978302,27.6304779053,0.2541637123,,,,0,0.02,1,3,26,,N,N,Y,N,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,20.7700805664,20.7667007446,0.004778441,,,,0,0.02,1,3,19,,N,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,39.8373832703,39.8373832703,,,,,0,0.02,1,3,35,,N,N,N,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,27.770614624,27.9645042419,0.2742026746,,,,0,0.02,1,3,26,,N,N,N,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,20.7633228302,20.7667007446,0.004778441,,,,0,0.02,1,3,19,,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.8373832703,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.1583957672,27.9645042419,0.2742026746,,,,0,0.02,1,3,26,,N,N,Y,N,Y
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.3885822296,19.4287872314,0.0568584576,,,,0,0.02,1,3,17,,N,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,28.908323288,29.0058250427,0.1378896534,,,,0,0.02,1,3,27,,N,N,N,N,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,35.7423744202,35.7423744202,,,,,0,0.02,1,3,34,,N,N,N,N,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,19.4689922333,19.4287872314,0.0568584576,,,,0,0.02,1,3,18,,N,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,29.1033287048,29.0058250427,0.1378896534,,,,0,0.02,1,3,27,,N,N,N,N,Y
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.7423744202,,,,,0,0.02,1,3,39,,N,N,N,N,Y
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,22.6152667999,22.5753993988,0.0563810207,,,,0,0.02,1,3,21,,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,Y
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,26.5194377899,26.8843574524,0.5160743594,,,,0,0.02,1,3,24,,N,Y,Y,N,Y
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,22.5355319977,22.5753993988,0.0563810207,,,,0,0.02,1,3,21,,N,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,Y
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.2492771149,26.8843574524,0.5160743594,,,,0,0.02,1,3,25,,N,Y,Y,N,Y
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,21.7882118225,22.0719528198,0.4012717009,,,,0,0.02,1,3,20,,N,N,N,N,N
