Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plated27_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 06:39:14 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.7324295044,,,,,0,0.02,1,3,39,,N,Y,Y,Y
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,16.0056209564,16.0883102417,0.1169389635,,,,0,0.02,1,3,13,,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,31.933303833,32.1950531006,0.3701693714,,,,0,0.02,1,3,31,,N,N,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,35.6270484924,35.6270484924,,,,,0,0.02,1,3,34,,N,N,N,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,16.1709976196,16.0883102417,0.1169389635,,,,0,0.02,1,3,13,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,32.4568023682,32.1950531006,0.3701693714,,,,0,0.02,1,3,31,,N,N,N,Y
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.6270484924,,,,,0,0.02,1,3,39,,N,N,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,20.3655281067,20.1530151367,0.3005400598,,,,0,0.02,1,3,19,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,39.8129043579,39.8129043579,,,,,0,0.02,1,3,39,,N,N,N,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,29.6240253448,29.6636695862,0.0560654253,,,,0,0.02,1,3,27,,N,N,N,Y
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,19.9405002594,20.1530151367,0.3005400598,,,,0,0.02,1,3,19,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.8129043579,,,,,0,0.02,1,3,39,,N,N,N,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,29.7033138275,29.6636695862,0.0560654253,,,,0,0.02,1,3,28,,N,N,N,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,18.1833591461,18.2000198364,0.0235631224,,,,0,0.02,1,3,17,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,34.1900672913,34.5610580444,0.5246628523,,,,0,0.02,1,3,32,,N,Y,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,33.8015022278,35.2082252502,1.9894068241,,,,0,0.02,1,3,32,,N,Y,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,18.2166824341,18.2000198364,0.0235631224,,,,0,0.02,1,3,17,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,34.9320526123,34.5610580444,0.5246628523,,,,0,0.02,1,3,33,,N,Y,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,36.6149482727,35.2082252502,1.9894068241,,,,0,0.02,1,3,35,,N,Y,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,Undetermined,16.3070468903,,,,,0,0.02,1,1,2,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,31.1163272858,31.2298469543,0.1605410576,,,,0,0.02,1,3,30,,N,N,Y,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,16.3070468903,16.3070468903,,,,,0,0.02,1,3,12,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,31.3433666229,31.2298469543,0.1605410576,,,,0,0.02,1,3,30,,N,N,N,Y
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,19.0079021454,18.9391517639,0.0972263739,,,,0,0.02,1,3,17,,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.5215835571,28.6136226654,0.1301629543,,,,0,0.02,1,3,27,,N,N,N,Y
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,18.8704032898,18.9391517639,0.0972263739,,,,0,0.02,1,3,17,,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.7056617737,28.6136226654,0.1301629543,,,,0,0.02,1,3,27,,N,N,N,Y
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,18.5752944946,18.8545875549,0.3949786723,,,,0,0.02,1,3,17,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,38.1008415222,38.1008415222,,,,,0,0.02,1,3,35,,N,N,N,N
