Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate20_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 16:20:37 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,60.984954834,,,,N,Y,Y,Y,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.5470294952,29.0560512543,0.6943480968,,,,0,0.02,1,3,28,71.2708129883,,,,N,Y,Y,Y,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,17.7934589386,17.7949066162,0.0020473253,,,,0,0.02,1,3,16,77.0843429565,,,,N,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,34.4332046509,34.2021713257,0.3267331719,,,,0,0.02,1,3,33,64.1149215698,,,,N,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.7313137054,28.7205505371,0.0152227674,,,,0,0.02,1,3,27,74.1028671265,,,,N,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,17.7963542938,17.7949066162,0.0020473253,,,,0,0.02,1,3,16,77.0841064453,,,,N,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,33.9711341858,34.2021713257,0.3267331719,,,,0,0.02,1,3,33,67.2454910278,,,,N,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.7097854614,28.7205505371,0.0152227674,,,,0,0.02,1,3,27,74.5499191284,,,,N,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,17.5269107819,17.6127128601,0.1213411167,,,,0,0.02,1,3,16,77.232635498,,,,N,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,29.7958316803,30.299369812,0.7121118307,,,,0,0.02,1,3,28,74.1023101807,,,,N,Y,N,Y,N
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.251373291,,,,N,Y,N,Y,N
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,17.698513031,17.6127128601,0.1213411167,,,,0,0.02,1,3,16,77.085723877,,,,N,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,30.8029098511,30.299369812,0.7121118307,,,,0,0.02,1,3,29,73.9550476074,,,,N,Y,N,Y,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.9550476074,,,,N,Y,N,Y,N
H1,NTC,Ssid,NTC,SYBR,None,10.5436077118,,,,,,0,0.02,1,3,39,,,,,Y,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,30.9453392029,30.5205116272,0.6007969379,,,,0,0.02,1,3,29,65.9062805176,,,,N,Y,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.8649921417,28.7276687622,0.1942045838,,,,0,0.02,1,3,27,72.4651489258,,,,N,Y,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,17.7951831818,17.7000293732,0.1345678121,,,,0,0.02,1,3,15,77.0845565796,,,,N,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,36.6588935852,36.6588935852,,,,,0,0.02,1,3,32,61.2830963135,,,,N,N,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,29.3908729553,29.4090805054,0.0257507134,,,,0,0.02,1,3,27,70.2273178101,,,,N,N,N,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,17.6048755646,17.7000293732,0.1345678121,,,,0,0.02,1,3,16,77.0843429565,,,,N,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.6588935852,,,,,0,0.02,1,3,39,67.0963973999,,,,N,N,Y,Y,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,29.4272899628,29.4090805054,0.0257507134,,,,0,0.02,1,3,27,72.6121292114,,,,N,N,Y,Y,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.4317588806,,,,N,N,N,Y,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,32.5069007874,32.48229599,0.0347964391,,,,0,0.02,1,3,30,81.1089935303,,,,N,N,N,Y,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,76.1896820068,67.8417663574,,,N,N,N,Y,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.7300338745,,,,N,N,N,Y,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,32.4576911926,32.48229599,0.0347964391,,,,0,0.02,1,3,30,76.785446167,,,,N,N,N,Y,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.251373291,,,,N,N,N,Y,N
H11,+,Ssid,UNKNOWN,SYBR,None,18.6309909821,18.5836315155,0.0669763982,,,,0,0.02,1,3,16,77.085723877,,,,N,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.1341781616,,,,N,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.3587265015,,,,N,N,N,N,N
