Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Pllate17_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-22 10:41:41 AM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,18.3926086426,18.4145946503,0.0310929101,,,,0,0.02,1,3,17,77.2094421387,,,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,27.4196071625,27.2500572205,0.239778474,,,,0,0.02,1,3,26,61.5578651428,,,,Y,N,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,32.6916770935,32.0315933228,0.9335021377,,,,0,0.02,1,3,30,71.8431854248,,,,Y,N,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,17.9992198944,17.9587364197,0.057253629,,,,0,0.02,1,3,16,77.0621261597,,,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,29.0359592438,29.1733474731,0.1942976415,,,,0,0.02,1,3,27,65.8812713623,,,,Y,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,30.8180675507,31.2063789368,0.5491538644,,,,0,0.02,1,3,29,73.4842529297,,,,Y,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,17.9182510376,17.9587364197,0.057253629,,,,0,0.02,1,3,16,77.1997528076,,,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,29.3107376099,29.1733474731,0.1942976415,,,,0,0.02,1,3,28,67.5057144165,,,,Y,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.5946884155,31.2063789368,0.5491538644,,,,0,0.02,1,3,30,75.2609481812,,,,Y,N,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,19.456703186,19.4494285583,0.0102878772,,,,0,0.02,1,3,18,77.0557098389,,,,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,39.1115684509,39.1115684509,,,,,0,0.02,1,3,39,65.7211456299,,,,N,N,Y,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,30.2179279327,30.518245697,0.4247134626,,,,0,0.02,1,3,28,72.1341247559,,,,N,N,Y,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,19.4421539307,19.4494285583,0.0102878772,,,,0,0.02,1,3,18,76.9040298462,,,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.1115684509,,,,,0,0.02,1,3,39,67.8079833984,,,,N,N,Y,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,30.8185634613,30.518245697,0.4247134626,,,,0,0.02,1,3,29,70.7902984619,,,,N,N,Y,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,18.2337722778,17.8290710449,0.5723339915,,,,0,0.02,1,3,17,77.0638885498,,,,Y,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,26.8179359436,27.1181411743,0.4245529473,,,,0,0.02,1,3,25,66.7786865234,,,,Y,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,31.8269405365,32.3168334961,0.6928119063,,,,0,0.02,1,3,30,72.7411193848,,,,Y,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,17.424369812,17.8290710449,0.5723339915,,,,0,0.02,1,3,16,77.2094421387,,,,Y,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,27.4183444977,27.1181411743,0.4245529473,,,,0,0.02,1,3,26,67.0731811523,,,,Y,N,N,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,32.8067245483,32.3168334961,0.6928119063,,,,0,0.02,1,3,31,73.3338165283,,,,Y,N,N,N
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,18.7142353058,18.7246437073,0.0147197023,,,,0,0.02,1,3,17,77.0621261597,,,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,29.6829833984,29.7576847076,0.1056436077,,,,0,0.02,1,3,28,66.4775848389,,,,Y,N,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,33.549369812,34.5676040649,1.4400006533,,,,0,0.02,1,3,31,73.4842529297,,,,Y,N,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,18.7350521088,18.7246437073,0.0147197023,,,,0,0.02,1,3,17,77.0506134033,,,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,29.8323860168,29.7576847076,0.1056436077,,,,0,0.02,1,3,28,91.6662445068,,,,Y,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,35.5858383179,34.5676040649,1.4400006533,,,,0,0.02,1,3,34,74.2169723511,,,,Y,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.6972923279,19.8495101929,0.2152672261,,,,0,0.02,1,3,18,77.0557098389,,,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,34.5955123901,35.4483222961,1.2060552835,,,,0,0.02,1,3,33,66.6159820557,,,,Y,N,N,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,28.6956672668,29.2843418121,0.8325115442,,,,0,0.02,1,3,27,75.415184021,,,,Y,N,N,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,20.0017261505,19.8495101929,0.2152672261,,,,0,0.02,1,3,19,77.0531463623,,,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,36.3011322021,35.4483222961,1.2060552835,,,,0,0.02,1,3,35,67.9570999146,,,,Y,N,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,29.8730163574,29.2843418121,0.8325115442,,,,0,0.02,1,3,28,72.1323318481,,,,Y,N,N,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,17.7493858337,17.5202789307,0.3240074515,,,,0,0.02,1,3,16,77.0638885498,,,,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,27.6465244293,27.6622695923,0.0222670231,,,,0,0.02,1,3,26,68.4183502197,,,,N,N,N,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,29.1802501678,29.2340373993,0.0760666355,,,,0,0.02,1,3,27,72.1448745728,,,,N,N,N,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,17.2911701202,17.5202789307,0.3240074515,,,,0,0.02,1,3,15,77.0603790283,,,,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,27.6780147552,27.6622695923,0.0222670231,,,,0,0.02,1,3,26,66.7750549316,,,,N,N,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,29.2878246307,29.2340373993,0.0760666355,,,,0,0.02,1,3,27,73.631942749,,,,N,N,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,17.240694046,17.1041145325,0.1931539476,,,,0,0.02,1,3,16,77.0621261597,,,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,28.9973430634,28.9296073914,0.0957940519,,,,0,0.02,1,3,27,92.1190185547,,,,N,N,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,26.7840499878,26.7126617432,0.1009595692,,,,0,0.02,1,3,25,72.1425476074,,,,N,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,16.9675331116,17.1041145325,0.1931539476,,,,0,0.02,1,3,15,77.0506134033,,,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,28.861869812,28.9296073914,0.0957940519,,,,0,0.02,1,3,27,89.4291610718,,,,N,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,26.6412715912,26.7126617432,0.1009595692,,,,0,0.02,1,3,25,74.2169723511,,,,N,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,19.6030025482,19.576385498,0.0376435407,,,,0,0.02,1,3,18,77.0557098389,,,,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,29.266582489,28.1834259033,1.5318146944,,,,0,0.02,1,3,28,77.2048492432,,,,Y,N,Y,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.7746582031,,,,Y,N,Y,N
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,19.5497665405,19.576385498,0.0376435407,,,,0,0.02,1,3,18,77.0531463623,,,,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,27.1002693176,28.1834259033,1.5318146944,,,,0,0.02,1,3,25,77.6496047974,,,,Y,N,Y,N
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.5796813965,,,,Y,N,Y,N
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,19.4313468933,18.9064102173,0.7423725724,,,,0,0.02,1,3,17,77.0638885498,,,,Y,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,35.2313690186,35.2313690186,,,,,0,0.02,1,3,34,61.1143684387,,,,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,28.4456634521,28.6882915497,0.3431279361,,,,0,0.02,1,3,26,71.2505111694,,,,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,18.3814735413,18.9064102173,0.7423725724,,,,0,0.02,1,3,17,77.0603790283,,,,Y,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.2313690186,,,,,0,0.02,1,3,39,65.2844314575,,,,N,Y,Y,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,28.9309196472,28.6882915497,0.3431279361,,,,0,0.02,1,3,27,71.5450668335,,,,N,Y,Y,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,17.6338005066,17.4497108459,0.2603434324,,,,0,0.02,1,3,16,77.0621261597,,,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,27.1799583435,27.2814102173,0.1434746087,,,,0,0.02,1,3,26,78.85105896,,,,N,Y,Y,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.782409668,,,,N,Y,Y,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,17.265619278,17.4497108459,0.2603434324,,,,0,0.02,1,3,15,77.1997528076,,,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,27.3828620911,27.2814102173,0.1434746087,,,,0,0.02,1,3,26,79.4368438721,,,,N,Y,Y,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.8747253418,,,,N,Y,Y,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,19.9926433563,20.2638778687,0.3835835159,,,,0,0.02,1,3,18,77.3539886475,,,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,33.6525306702,33.7280540466,0.1068061814,,,,0,0.02,1,3,32,68.4056472778,,,,N,N,N,N
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,30.6642036438,30.9642658234,0.4243519902,,,,0,0.02,1,3,28,72.4324035645,,,,N,N,N,N
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,20.535112381,20.2638778687,0.3835835159,,,,0,0.02,1,3,19,77.0531463623,,,,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,33.8035774231,33.7280540466,0.1068061814,,,,0,0.02,1,3,32,68.8517913818,,,,N,N,N,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,31.2643280029,30.9642658234,0.4243519902,,,,0,0.02,1,3,29,72.5796813965,,,,N,N,N,N
H1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,93.6096496582,,,,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,30.5163211823,30.4315719604,0.1198534966,,,,0,0.02,1,3,29,66.6296234131,,,,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.8809223175,28.6466598511,0.3312971592,,,,0,0.02,1,3,27,72.1448745728,,,,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,19.3565273285,19.2703437805,0.121883288,,,,0,0.02,1,3,17,77.0603790283,,,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,28.7620754242,28.8554229736,0.1320133656,,,,0,0.02,1,3,27,72.2903747559,,,,N,N,Y,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.2903747559,,,,N,N,Y,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,19.1841583252,19.2703437805,0.121883288,,,,0,0.02,1,3,17,77.2112045288,,,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,28.9487705231,28.8554229736,0.1320133656,,,,0,0.02,1,3,27,72.5897827148,,,,N,N,Y,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.738861084,,,,N,N,Y,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,19.5510578156,19.7300071716,0.2530726194,,,,0,0.02,1,3,18,77.1997528076,,,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,30.5191478729,30.4217376709,0.1377574801,,,,0,0.02,1,3,29,64.2246551514,,,,Y,N,N,N
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,35.6226654053,34.7087135315,1.2925231457,,,,0,0.02,1,3,34,76.3049163818,,,,Y,N,N,N
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,19.9089565277,19.7300071716,0.2530726194,,,,0,0.02,1,3,18,77.2048492432,,,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,30.3243293762,30.4217376709,0.1377574801,,,,0,0.02,1,3,29,63.7823371887,,,,Y,N,N,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,33.7947616577,34.7087135315,1.2925231457,,,,0,0.02,1,3,32,74.222076416,,,,Y,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,18.1635437012,18.2787837982,0.1629741043,,,,0,0.02,1,3,16,77.202255249,,,,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.3960189819,,,,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.1761398315,,,,N,N,N,N
