Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate38_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 10:16:59 AM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.4212417603,27.6295967102,0.2946570516,,,,0,0.02,1,3,25,,N,N,Y,N,Y
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,22.3688602448,22.2552223206,0.1607096493,,,,0,0.02,1,3,20,,N,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.8379497528,27.6295967102,0.2946570516,,,,0,0.02,1,3,26,,N,N,Y,N,Y
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,33.3480644226,32.7315292358,0.871915102,,,,0,0.02,1,3,33,,N,Y,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,27.0764904022,27.088186264,0.0165404473,,,,0,0.02,1,3,26,,N,N,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,33.7660331726,33.4638290405,0.4273784757,,,,0,0.02,1,3,32,,N,N,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,32.1149902344,32.7315292358,0.871915102,,,,0,0.02,1,3,31,,N,Y,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,27.0998821259,27.088186264,0.0165404473,,,,0,0.02,1,3,25,,N,N,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,33.1616287231,33.4638290405,0.4273784757,,,,0,0.02,1,3,31,,N,N,N,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,21.4366855621,21.4159030914,0.029390851,,,,0,0.02,1,3,20,,N,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,30.7739372253,30.7961616516,0.0314287357,,,,0,0.02,1,3,29,,N,Y,N,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,26.1600227356,26.5443992615,0.5435891747,,,,0,0.02,1,3,24,,N,Y,N,N,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,21.3951206207,21.4159030914,0.029390851,,,,0,0.02,1,3,20,,N,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,30.8183841705,30.7961616516,0.0314287357,,,,0,0.02,1,3,29,,N,Y,N,N,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,26.92877388,26.5443992615,0.5435891747,,,,0,0.02,1,3,25,,N,Y,N,N,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,21.2346382141,21.2963314056,0.0872473493,,,,0,0.02,1,3,19,,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.2520713806,28.2529983521,0.0013095869,,,,0,0.02,1,3,26,,N,N,Y,N,Y
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,21.3580245972,21.2963314056,0.0872473493,,,,0,0.02,1,3,20,,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.2539234161,28.2529983521,0.0013095869,,,,0,0.02,1,3,26,,N,N,Y,N,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,20.8763999939,20.8208770752,0.0785212666,,,,0,0.02,1,3,19,,N,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,26.5471248627,26.6644763947,0.1659601331,,,,0,0.02,1,3,25,,N,Y,N,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,32.7250709534,33.5862045288,1.2178267241,,,,0,0.02,1,3,31,,N,Y,N,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,20.7653541565,20.8208770752,0.0785212666,,,,0,0.02,1,3,19,,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,26.7818279266,26.6644763947,0.1659601331,,,,0,0.02,1,3,25,,N,Y,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,34.4473381042,33.5862045288,1.2178267241,,,,0,0.02,1,3,32,,N,Y,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,25.7725906372,26.0368766785,0.3737555444,,,,0,0.02,1,3,24,,N,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,27.5766601563,27.8050460815,0.3229851127,,,,0,0.02,1,3,26,,N,N,N,N,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,27.5051898956,27.8352298737,0.4667470157,,,,0,0.02,1,3,26,,N,N,N,N,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,26.3011608124,26.0368766785,0.3737555444,,,,0,0.02,1,3,25,,N,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,28.0334300995,27.8050460815,0.3229851127,,,,0,0.02,1,3,26,,N,N,N,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,28.1652698517,27.8352298737,0.4667470157,,,,0,0.02,1,3,26,,N,N,N,N,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,20.6374645233,20.7120075226,0.1054197177,,,,0,0.02,1,3,19,,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.2066173553,27.2578544617,0.0724588633,,,,0,0.02,1,3,25,,N,N,Y,N,Y
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,20.7865505219,20.7120075226,0.1054197177,,,,0,0.02,1,3,19,,N,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
