Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate13_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 16:05:30 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,25.4664726257,25.4937973022,0.038642928,,,,0,0.02,1,3,23,,N,N,N,Y
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
H1,NTC,Ssid,NTC,SYBR,None,11.8242092133,,,,,,0,0.02,1,3,39,,Y,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.5230407715,29.5377426147,0.0207928941,,,,0,0.02,1,3,28,,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.110912323,28.0372714996,0.1041438505,,,,0,0.02,1,3,26,,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,20.9097766876,20.8103790283,0.1405708641,,,,0,0.02,1,3,19,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,32.6248130798,32.779876709,0.2192903906,,,,0,0.02,1,3,31,,N,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.6701545715,27.3934211731,0.391361475,,,,0,0.02,1,3,26,,N,N,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,20.7109794617,20.8103790283,0.1405708641,,,,0,0.02,1,3,19,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,32.9349365234,32.779876709,0.2192903906,,,,0,0.02,1,3,31,,N,N,N,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.1166858673,27.3934211731,0.391361475,,,,0,0.02,1,3,25,,N,N,N,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,20.0024452209,20.1211624146,0.1678901166,,,,0,0.02,1,3,18,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,26.3935470581,26.2672538757,0.1786041856,,,,0,0.02,1,3,24,,N,N,N,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,20.2398777008,20.1211624146,0.1678901166,,,,0,0.02,1,3,18,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,26.1409626007,26.2672538757,0.1786041856,,,,0,0.02,1,3,24,,N,N,N,Y
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
H11,+,Ssid,UNKNOWN,SYBR,None,20.9876670837,20.9481620789,0.0558698624,,,,0,0.02,1,3,18,,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
