Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate12_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 14:19:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,21.4140834808,21.4882640839,0.1049072146,,,,0,0.02,1,3,20,76.0428466797,,,,N,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,29.712978363,29.3613357544,0.497297734,,,,0,0.02,1,3,28,72.910949707,,,,N,N,N,Y,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.3583602905,,,,N,N,N,Y,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,21.7749176025,21.6092948914,0.2342258841,,,,0,0.02,1,3,20,76.1998672485,,,,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,27.8221168518,27.8280830383,0.0084374622,,,,0,0.02,1,3,26,81.2693862915,,,,N,N,N,Y,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.6239242554,,,,,0,0.02,1,3,39,72.3231811523,,,,N,N,N,Y,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,21.4436721802,21.6092948914,0.2342258841,,,,0,0.02,1,3,20,76.1944580078,,,,N,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,27.8340492249,27.8280830383,0.0084374622,,,,0,0.02,1,3,26,92.7479400635,,,,N,N,N,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,35.6239242554,35.6239242554,,,,,0,0.02,1,3,34,73.5101089478,,,,N,N,N,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,23.5891342163,23.7760753632,0.2643747032,,,,0,0.02,1,3,22,76.1942214966,,,,N,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,33.7593231201,33.2484054565,0.7225466967,,,,0,0.02,1,3,32,64.1164245605,,,,N,Y,N,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,29.6571483612,29.2171077728,0.6223113537,,,,0,0.02,1,3,28,74.2558059692,,,,N,Y,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,23.96301651,23.7760753632,0.2643747032,,,,0,0.02,1,3,22,76.1902236938,,,,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,32.737487793,33.2484054565,0.7225466967,,,,0,0.02,1,3,31,68.2855377197,,,,N,Y,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,28.7770671844,29.2171077728,0.6223113537,,,,0,0.02,1,3,27,73.9530487061,,,,N,Y,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,21.6014270782,21.4825820923,0.168073535,,,,0,0.02,1,3,20,76.1907501221,,,,N,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,29.8637714386,30.1578865051,0.4159428775,,,,0,0.02,1,3,28,73.9541702271,,,,N,N,N,Y,Y
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.9541702271,88.5664672852,67.5426483154,,N,N,N,Y,Y
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,21.363735199,21.4825820923,0.168073535,,,,0,0.02,1,3,20,76.0428466797,,,,N,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,30.452003479,30.1578865051,0.4159428775,,,,0,0.02,1,3,28,73.9549179077,,,,N,N,N,Y,Y
