Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate39_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-29 10:34:04 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,37.5220489502,36.5022583008,1.4422017336,,,,0,0.02,1,3,35,,Y,N,N,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,28.0813426971,28.2500839233,0.2386361361,,,,0,0.02,1,3,26,,Y,N,N,N
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,19.4491882324,19.6673812866,0.308570236,,,,0,0.02,1,3,18,,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,35.4824676514,36.5022583008,1.4422017336,,,,0,0.02,1,3,34,,Y,N,N,N
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,28.4188251495,28.2500839233,0.2386361361,,,,0,0.02,1,3,26,,Y,N,N,N
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,23.9278774261,23.6611938477,0.3771488965,,,,0,0.02,1,3,22,,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,29.3838195801,29.4194984436,0.0504561849,,,,0,0.02,1,3,28,,Y,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,31.3510150909,32.0601463318,1.0028643608,,,,0,0.02,1,3,30,,Y,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,23.3945083618,23.6611938477,0.3771488965,,,,0,0.02,1,3,21,,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,29.4551753998,29.4194984436,0.0504561849,,,,0,0.02,1,3,27,,Y,N,N,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,32.76927948,32.0601463318,1.0028643608,,,,0,0.02,1,3,31,,Y,N,N,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,31.1602573395,31.3409175873,0.2554921806,,,,0,0.02,1,3,30,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.3007354736,,,,,0,0.02,1,3,39,,N,Y,N,Y
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.1102409363,30.0457191467,0.091248937,,,,0,0.02,1,3,28,,N,Y,N,Y
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,31.5215778351,31.3409175873,0.2554921806,,,,0,0.02,1,3,30,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,38.3007354736,38.3007354736,,,,,0,0.02,1,3,35,,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,29.9811954498,30.0457191467,0.091248937,,,,0,0.02,1,3,28,,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,24.1615791321,23.8953132629,0.3765554428,,,,0,0.02,1,3,23,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.6064720154,,,,,0,0.02,1,3,39,,N,N,N,Y
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,27.7989521027,28.0660057068,0.3776708245,,,,0,0.02,1,3,26,,N,N,N,Y
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,23.6290493011,23.8953132629,0.3765554428,,,,0,0.02,1,3,22,,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,36.6064720154,36.6064720154,,,,,0,0.02,1,3,35,,N,N,N,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,28.3330593109,28.0660057068,0.3776708245,,,,0,0.02,1,3,26,,N,N,N,N
H1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.8248062134,30.1930999756,0.520844698,,,,0,0.02,1,3,28,,Y,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.1823959351,28.2694454193,0.1231065616,,,,0,0.02,1,3,26,,Y,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,20.0485782623,21.1625652313,1.5754154921,,,,0,0.02,1,3,19,,Y,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,26.3381671906,26.6439609528,0.4324576855,,,,0,0.02,1,3,24,,N,Y,N,Y
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,22.2765522003,21.1625652313,1.5754154921,,,,0,0.02,1,3,19,,Y,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,26.949754715,26.6439609528,0.4324576855,,,,0,0.02,1,3,25,,N,Y,N,Y
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,19.8158493042,19.9813308716,0.234026283,,,,0,0.02,1,3,18,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,28.739906311,28.5401611328,0.2824836969,,,,0,0.02,1,3,27,,N,Y,N,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,20.146812439,19.9813308716,0.234026283,,,,0,0.02,1,3,18,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,28.3404140472,28.5401611328,0.2824836969,,,,0,0.02,1,3,26,,N,Y,N,Y
H11,+,Ssid,UNKNOWN,SYBR,None,19.7762145996,19.914478302,0.1955344081,,,,0,0.02,1,3,18,,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,39.1527061462,,,,,,0,0.02,1,3,35,,N,N,N,N
