Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate5.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-07 16:15:33 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL,MTP
H2,+,D,UNKNOWN,FAM,NFQ-MGB,29.308889389,29.3062019348,0.0038006343,,,,0,0.02,1,3,27,71.5931549072,,,,N,Y,N,N,N,N
H3,+,B,UNKNOWN,FAM,NFQ-MGB,39.6704368591,39.6704368591,,,,,0,0.02,1,3,35,72.1871185303,,,,N,N,N,N,N,N
H4,Sample 14,Ofav,UNKNOWN,SYBR,None,23.5225372314,23.4262123108,0.1362253577,,,,0,0.02,1,3,22,74.5709991455,,,,N,N,N,N,N,N
H5,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9053115845,,,,N,Y,Y,N,Y,N
H5,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,35.5927619934,36.4962234497,1.2776846886,,,,0,0.02,1,3,33,72.7817153931,,,,N,Y,Y,N,Y,N
H6,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,79.1883621216,,,,N,N,N,N,Y,N
H7,Sample 14,Ofav,UNKNOWN,SYBR,None,23.3298854828,23.4262123108,0.1362253577,,,,0,0.02,1,3,21,74.5713653564,,,,N,N,N,N,N,N
H8,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.6101150513,,,,N,Y,Y,N,Y,N
H8,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,37.3996810913,36.4962234497,1.2776846886,,,,0,0.02,1,3,35,75.9121780396,,,,N,Y,Y,N,Y,N
H9,Sample 14,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.9365692139,,,,N,N,N,N,Y,N
H10,+,Ofav,UNKNOWN,SYBR,None,22.282119751,22.4353809357,0.2167440504,,,,0,0.02,1,3,20,74.7243499756,69.6589660645,,,N,N,N,N,N,Y
H11,+,C,UNKNOWN,VIC,NFQ-MGB,34.2647209167,35.0325546265,1.0858781338,,,,0,0.02,1,3,31,61.561756134,,,,N,Y,N,N,N,N
H11,+,D,UNKNOWN,FAM,NFQ-MGB,29.3035144806,29.3062019348,0.0038006343,,,,0,0.02,1,3,27,72.4554214478,,,,N,Y,N,N,N,N
H12,+,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.6704368591,,,,,0,0.02,1,3,39,73.3507919312,,,,N,N,N,N,Y,N
