Fragment,Time1,Time2,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Gen_Treat,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp,HeatStress
Ac_171,0,82,N_P,R1,02/19/18,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,0,0
Ac_263,0,82,N_P,R1,02/19/18,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,0,0
Ac_269,0,82,N_P,R1,02/05/18,T14,Nutrients,G_07,Ac_07_N_P,82,196,196,0,82,0,0
Ac_168,0,82,N_P,R2,02/15/18,T17,Heat,G_07,Ac_07_N_P,92,206,206,1,92,0,0
Ac_175,0,82,N_P,R2,02/15/18,T17,Heat,G_07,Ac_07_N_P,92,206,206,1,92,0,0
Ac_266,0,82,N_P,R2,02/05/18,T14,Nutrients,G_07,Ac_07_N_P,82,196,196,0,82,0,0
Ac_272,0,82,N_P,R2,02/19/18,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,0,0
Ac_145,0,82,N_P,R1,02/19/18,T18,Heat,G_08,Ac_08_N_P,96,210,210,1,96,0,0
Ac_233,0,82,N_P,R2,02/22/18,T19,Heat,G_08,Ac_08_N_P,99,213,213,1,99,0,0
Ac_235,0,82,N_P,R2,02/15/18,T17,Heat,G_08,Ac_08_N_P,92,206,206,1,92,0,0
Ac_151,0,82,N_P,R1,02/19/18,T18,Heat,G_31,Ac_31_N_P,96,210,210,1,96,0,0
Ac_159,0,82,N_P,R1,02/05/18,T14,Nutrients,G_31,Ac_31_N_P,82,196,196,0,82,0,0
Ac_250,0,82,N_P,R1,03/01/18,T21,Heat,G_31,Ac_31_N_P,106,220,220,1,106,0,0
Ac_155,0,82,N_P,R2,03/08/18,T23,Heat,G_31,Ac_31_N_P,113,227,227,0,113,0,0
Ac_247,0,82,N_P,R2,02/26/18,T20,Heat,G_31,Ac_31_N_P,103,217,217,1,103,0,0
Ac_178,0,82,N_P,R1,03/05/18,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,0,0
Ac_184,0,82,N_P,R1,03/05/18,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,0,0
Ac_276,0,82,N_P,R1,03/01/18,T21,Heat,G_48,Ac_48_N_P,106,220,220,1,106,0,0
Ac_283,0,82,N_P,R1,02/05/18,T14,Nutrients,G_48,Ac_48_N_P,82,196,196,0,82,0,0
Ac_289,0,82,N_P,R1,03/01/18,T21,Heat,G_48,Ac_48_N_P,106,220,220,1,106,0,0
Ac_181,0,82,N_P,R2,02/05/18,T14,Nutrients,G_48,Ac_48_N_P,82,196,196,0,82,0,0
Ac_188,0,82,N_P,R2,03/08/18,T23,Heat,G_48,Ac_48_N_P,113,227,227,0,113,0,0
Ac_280,0,82,N_P,R2,03/05/18,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,0,0
Ac_286,0,82,N_P,R2,03/08/18,T23,Heat,G_48,Ac_48_N_P,113,227,227,0,113,0,0
Ac_101,0,82,N_P,R1,02/19/18,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,0,0
Ac_107,0,82,N_P,R1,02/19/18,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,0,0
Ac_300,0,65,N_P,R1,01/19/18,T11,Nutrients,G_50,Ac_50_N_P,65,179,179,1,65,1,0
Ac_104,0,82,N_P,R2,02/19/18,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,0,0
Ac_110,0,82,N_P,R2,02/05/18,T14,Nutrients,G_50,Ac_50_N_P,82,196,196,0,82,0,0
Ac_118,0,82,N_P,R1,03/01/18,T21,Heat,G_62,Ac_62_N_P,106,220,220,1,106,0,0
Ac_124,0,82,N_P,R1,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,0,0
Ac_216,0,82,N_P,R1,02/05/18,T14,Nutrients,G_62,Ac_62_N_P,82,196,196,0,82,0,0
Ac_222,0,82,N_P,R1,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,0,0
Ac_228,0,82,N_P,R1,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,0,0
Ac_121,0,82,N_P,R2,02/05/18,T14,Nutrients,G_62,Ac_62_N_P,82,196,196,0,82,0,0
Ac_128,0,82,N_P,R2,03/08/18,T23,Heat,G_62,Ac_62_N_P,113,227,227,0,113,0,0
Ac_219,0,82,N_P,R2,02/05/18,T14,Nutrients,G_62,Ac_62_N_P,82,196,196,0,82,0,0
Ac_225,0,82,N_P,R2,03/08/18,T23,Heat,G_62,Ac_62_N_P,113,227,227,0,113,0,0
Ac_229,0,82,N_P,R2,03/05/18,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,0,0
Ac_162,82,113,Ambient,R1,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_169,82,113,Ambient,R1,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_261,82,113,Ambient,R1,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_273,82,113,Ambient,R1,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_166,82,113,Ambient,R2,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_173,82,113,Ambient,R2,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_264,82,113,Ambient,R2,03/08/18,T23,Heat,G_07,Ac_07_Ambient,113,227,227,0,113,0,1
Ac_143,82,113,Ambient,R1,03/08/18,T23,Heat,G_08,Ac_08_Ambient,113,227,227,0,113,0,1
Ac_231,82,113,Ambient,R2,03/08/18,T23,Heat,G_08,Ac_08_Ambient,113,227,227,0,113,0,1
Ac_157,82,113,Ambient,R1,03/08/18,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0,1
Ac_248,82,113,Ambient,R1,03/08/18,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0,1
Ac_152,82,113,Ambient,R2,03/08/18,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0,1
Ac_160,82,113,Ambient,R2,03/08/18,T23,Heat,G_31,Ac_31_Ambient,113,227,227,0,113,0,1
Ac_176,82,113,Ambient,R1,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_182,82,113,Ambient,R1,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_281,82,113,Ambient,R1,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_287,82,113,Ambient,R1,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_179,82,113,Ambient,R2,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_186,82,113,Ambient,R2,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_277,82,113,Ambient,R2,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_284,82,113,Ambient,R2,03/08/18,T23,Heat,G_48,Ac_48_Ambient,113,227,227,0,113,0,1
Ac_105,82,113,Ambient,R1,03/08/18,T23,Heat,G_50,Ac_50_Ambient,113,227,227,0,113,0,1
Ac_204,82,113,Ambient,R1,03/08/18,T23,Heat,G_50,Ac_50_Ambient,113,227,227,0,113,0,1
Ac_102,82,113,Ambient,R2,03/08/18,T23,Heat,G_50,Ac_50_Ambient,113,227,227,0,113,0,1
Ac_108,82,113,Ambient,R2,03/08/18,T23,Heat,G_50,Ac_50_Ambient,113,227,227,0,113,0,1
Ac_116,82,113,Ambient,R1,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
Ac_122,82,113,Ambient,R1,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
Ac_220,82,113,Ambient,R1,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,1
