Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
F,N,R2,242,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate9,Sample 3,Sample 3_Plate9.csv
Green,N,R2,180,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate9,Sample 4,Sample 4_Plate9.csv
Green,N,R2,187,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate9,Sample 5,Sample 5_Plate9.csv
Green,N,R2,278,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate9,Sample 6,Sample 6_Plate9.csv
Green,N,R2,285,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 7,Sample 7_Plate9.csv
Green and Orange,N,R2,120,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 8,Sample 8_Plate9.csv
Green and Orange,N,R2,126,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 9,Sample 9_Plate9.csv
Green and Orange,N,R2,218,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 10,Sample 10_Plate9.csv
Green and Orange,N,R2,224,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 11,Sample 11_Plate9.csv
Green and Orange,N,R2,230,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 12,Sample 12_Plate9.csv
Orange,N,R2,154,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 13,Sample 13_Plate9.csv
Orange,N,R2,246,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 14,Sample 14_Plate9.csv
Orange,N,R2,299,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 15,Sample 15_Plate9.csv
Red and Orange,N,R2,167,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 16,Sample 16_Plate9.csv
Red and Orange,N,R2,174,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 17,Sample 17_Plate9.csv
Red and Orange,N,R2,265,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 18,Sample 18_Plate9.csv
Red and Orange,N,R2,271,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 19,Sample 19_Plate9.csv
Red and Yellow,N,R2,103,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 20,Sample 20_Plate9.csv
Red and Yellow,N,R2,109,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 21,Sample 21_Plate9.csv
Yellow,N,R2,232,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 22,Sample 22_Plate9.csv
Yellow,N,R2,234,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate10,Sample 1,Sample 1_Plate10.csv
F,NP,R1,138,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 2,Sample 2_Plate10.csv
F,NP,R1,191,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 3,Sample 3_Plate10.csv
F,NP,R1,240,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 4,Sample 4_Plate10.csv
Green,NP,R1,178,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 5,Sample 5_Plate10.csv
Green,NP,R1,184,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate10,Sample 6,Sample 6_Plate10.csv
