"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","A.Acer","logA.SH"
"A","R2","Ac_139","F",2017-12-14,29,"T9","Nutrients","139_T9",0.122601001632286,-0.911505981680592
"A","R2","Ac_152","Orange",2017-12-14,29,"T9","Nutrients","152_T9",0.0490379564997435,-1.30946763594838
"A","R2","Ac_160","Orange",2017-12-14,29,"T9","Nutrients","160_T9",0.0921126220781962,-1.03568085489198
"A","R2","Ac_166","Red and Orange",2017-12-14,29,"T9","Nutrients","166_T9",0.0529965652533735,-1.27575227643401
"A","R2","Ac_173","Red and Orange",2017-12-14,29,"T9","Nutrients","173_T9",0.0481454299229118,-1.31744493083347
"A","R2","Ac_179","Green",2017-12-14,29,"T9","Nutrients","179_T9",0.224539734366575,-0.648706795465937
"A","R2","Ac_186","Green",2017-12-14,29,"T9","Nutrients","186_T9",0.0839132633016407,-1.07616938930879
"A","R2","Ac_192","F",2017-12-14,29,"T9","Nutrients","192_T9",0.0472527685809644,-1.3255727407164
"A","R2","Ac_217","Green and Orange",2017-12-14,29,"T9","Nutrients","217_T9",0.0692060834182143,-1.15985572810338
"A","R2","Ac_223","Green and Orange",2017-12-14,29,"T9","Nutrients","223_T9",0.063594361668123,-1.19658138757438
"A","R2","Ac_231","Yellow",2017-12-14,29,"T9","Nutrients","231_T9",0.166609511641197,-0.778300208599282
"A","R2","Ac_241","F",2017-12-14,29,"T9","Nutrients","241_T9",0.0510318824546492,-1.2921584111977
"A","R2","Ac_264","Red and Orange",2017-12-14,29,"T9","Nutrients","264_T9",0.0619841289574698,-1.20771949741395
"A","R2","Ac_270","Red and Orange",2017-12-14,29,"T9","Nutrients","270_T9",0.0897180870908734,-1.04711999472722
"A","R2","Ac_277","Green",2017-12-14,29,"T9","Nutrients","277_T9",0.104425262180869,-0.981194425676804
"A","R2","Ac_284","Green",2017-12-14,29,"T9","Nutrients","284_T9",0.0916032548150359,-1.0380890948573
"A","R2","Ac_290","Green",2017-12-14,29,"T9","Nutrients","290_T9",0.0946366405081091,-1.02394068506109
"N","R1","Ac_106","Red and Yellow",2017-12-14,29,"T9","Nutrients","106_T9",0.0169395888724878,-1.77109713429909
"N","R1","Ac_117","Green and Orange",2017-12-14,29,"T9","Nutrients","117_T9",0.0585390308232121,-1.23255447205623
"N","R1","Ac_123","Green and Orange",2017-12-14,29,"T9","Nutrients","123_T9",0.0862723862402481,-1.06412818948223
"N","R1","Ac_130","Green and Orange",2017-12-14,29,"T9","Nutrients","130_T9",0.0606664486742814,-1.21705142727953
"N","R1","Ac_144","Yellow",2017-12-14,29,"T9","Nutrients","144_T9",0.0272055097523532,-1.56534313226276
"N","R1","Ac_146","F",2017-12-14,29,"T9","Nutrients","146_T9",0.385697759564375,-0.413752883850201
"N","R1","Ac_150","Orange",2017-12-14,29,"T9","Nutrients","150_T9",0.0388226570520571,-1.41091474448714
"N","R1","Ac_158","Orange",2017-12-14,29,"T9","Nutrients","158_T9",0.0542791775380091,-1.2653667415836
"N","R1","Ac_164","Red and Orange",2017-12-14,29,"T9","Nutrients","164_T9",0.0306927701430038,-1.51296391301723
"N","R1","Ac_170","Red and Orange",2017-12-14,29,"T9","Nutrients","170_T9",0.0313376904875506,-1.50393301314731
"N","R1","Ac_177","Green",2017-12-14,29,"T9","Nutrients","177_T9",0.0392420078617948,-1.40624877955435
"N","R1","Ac_183","Green",2017-12-14,29,"T9","Nutrients","183_T9",0.0502073597656073,-1.2992326160958
"N","R1","Ac_190","Green",2017-12-14,29,"T9","Nutrients","190_T9",0.0492423243038071,-1.30766145597439
