Spp,Colony,Core,Treatment,Rep,Date,Chl_a,Sym/cm2,Sym/cm2_2
S.sid,28,28-14,NP,R2,2018-03-08,0.87,166175.190950401,166175.190950401
S.sid,28,28-29,Control,R2,2018-03-08,0.98,193801.000263227,193801.000263227
S.sid,30,30-3,NP,R1,2018-03-08,0.26,91252.5957483248,91252.5957483248
S.sid,30,30-4,Control,R1,2018-03-08,0.38,62552.2414324051,62552.2414324051
S.sid,30,30-13,N,R1,2018-03-08,0.26,106351.493939316,106351.493939316
S.sid,30,30-15,Control,R2,2018-03-08,0.18,87680.6045675478,87680.6045675478
S.sid,30,30-16,N,R2,2018-03-08,0.19,91799.0701951568,91799.0701951568
S.sid,30,30-18,NP,R2,2018-03-08,0.3,72197.4820866537,72197.4820866537
A. cer,Green,181,NP,R2,2018-02-05,6.87,7171985.41983908,7145389.67662584
A. cer,Green,290,Control,R2,2018-02-05,2.73,5187513.82006812,3976058.49681868
A. cer,Red and Orange,267,Control,R1,2018-02-05,3.45,5281176.27708785,3881346.42051035
A. cer,Orange,159,NP,R1,2018-02-05,4.80,4454206.07387814,2898392.95942071
A. cer,Red and Orange,266,NP,R2,2018-02-05,3.83,5687724.64315351,4145046.47631593
A. cer,Orange,158,N,R1,2018-02-05,5.30,4790209.95694283,4498454.95956529
A. cer,Orange,246,N,R2,2018-02-05,5.31,3642144.07093892,3485226.29917511
A. cer,Green and Orange,121,NP,R2,2018-02-05,4.06,8974010.3411142,6985651.18710263
A. cer,Red and Orange,269,NP,R1,2018-02-05,4.27,5961324.81848684,5554627.61363495
A. cer,Green and Orange,216,NP,R1,2018-02-05,0.00,5547575.07026928,3850825.70588584
A. cer,Green,283,NP,R1,2018-02-05,3.30,4606595.98155871,3667465.69357838
A. cer,Green and Orange,223,Control,R2,2018-02-05,2.93,5743307.66103872,4321859.55608922
A. cer,Green and Orange,218,N,R2,2018-02-05,2.84,6745375.76877117,4386799.04779993
A. cer,Green and Orange,129,Control,R1,2018-02-05,3.26,5202225.04627038,3763556.61533278
A. cer,F,137,Control,R1,2018-02-05,2.61,3055254.14926885,2566413.48538583
A. cer,Green,189,Control,R1,2018-02-05,2.42,6658456.53142476,6148718.23236832
A. cer,Orange,149,Control,R1,2018-02-05,3.57,3790702.92551884,2776433.7643665
A. cer,Green,183,N,R1,2018-02-05,5.89,6134536.23175575,5005480.48357984
A. cer,Green and Orange,227,N,R1,2018-02-05,5.26,5420172.48970554,4735396.9503209
A. cer,Red and Orange,268,N,R1,2018-02-05,3.04,4846947.2148606,3583919.96442734
A. cer,F,240,NP,R1,2018-02-05,11.20,2085166.84095855,1752563.54117375
A. cer,F,241,Control,R2,2018-02-05,3.38,3176983.53265638,2334468.56267016
A. cer,Red and Orange,270,Control,R2,2018-02-05,3.38,3299735.84027632,3185344.99781341
A. cer,Green,180,N,R2,2018-02-05,3.24,4552250.50317321,3798500.96452143
A. cer,Red and Orange,265,N,R2,2018-02-05,5.18,5250071.42758849,4465577.99587986
A. cer,Yellow,234,N,R2,2018-02-05,2.65,5832808.53185156,4415025.64777677
A. cer,Green and Orange,219,NP,R2,2018-02-05,3.36,5639263.0309217,5490258.11343799
A. cer,Red and Yellow,110,NP,R2,2018-02-05,1.49,4368023.93316605,4292340.35016564
Acer ,Red and Orange,262,N,R1,2018-02-15,4.90,0,2876759.52204933
A. cer,Green,281,Control,R1,2018-03-08,1.40,1547378.02993315,914491.706245671
A. cer,Green and Orange,220,Control,R1,2018-03-08,1.94,834817.714676351,872146.962080578
A. cer,Orange,248,Control,R1,2018-03-08,0.90,506830.559870501,454758.927007094
A. cer,Red and Orange,273,Control,R1,2018-03-08,0.79,524205.019242467,505649.089357778
A. cer,Red and Yellow,105,Control,R1,2018-03-08,1.71,1541383.10514791,1104035.64970802
A. cer,Green,186,Control,R2,2018-03-08,2.03,1278605.21689353,1332360.39117734
A. cer,Green and Orange,125,Control,R2,2018-03-08,1.18,1581896.96495143,1370473.9815689
A. cer,Orange,160,Control,R2,2018-03-08,0.82,465101.425133799,377285.072136508
A. cer,Red and Orange,173,Control,R2,2018-03-08,0.40,339367.207549808,144851.856881016
A. cer,Red and Yellow,102,Control,R2,2018-03-08,2.18,955746.947188304,0
A. cer,Green,188,NP,R2,2018-03-08,0.36,820163.479908319,533757.18533716
