"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH"
"199","273_2018-02-23","Control","R1","Red and Orange",273,2018-02-23,100,0.265639698400911,-0.575707021517422
"200","130_2018-02-23","N","R1","Green and Orange",130,2018-02-23,100,0.174469005733669,-0.758281713887626
"201","221_2018-02-23","N","R1","Green and Orange",221,2018-02-23,100,0.146456351956806,-0.834291787792781
"202","178_2018-02-23","NP","R1","Green",178,2018-02-23,100,0.0410647029070413,-1.38653131483836
"203","276_2018-02-23","NP","R1","Green",276,2018-02-23,100,0.0791121269992225,-1.10175693894023
"204","289_2018-02-23","NP","R1","Green",289,2018-02-23,100,0.0970614801339411,-1.01295309021935
"205","118_2018-02-23","NP","R1","Green and Orange",118,2018-02-23,100,0.16199741202891,-0.790491923423674
"206","278_2018-02-23","N","R2","Green",278,2018-02-23,100,0.136553923417362,-0.864695817354844
"207","285_2018-02-23","N","R2","Green",285,2018-02-23,100,0.0778339114886113,-1.10883114383833
"208","126_2018-02-23","N","R2","Green and Orange",126,2018-02-23,100,0.074896529026294,-1.12553830859768
"209","224_2018-02-23","N","R2","Green and Orange",224,2018-02-23,100,0.103166227381205,-0.986462450600924
"210","230_2018-02-23","N","R2","Green and Orange",230,2018-02-23,100,0.103094742779104,-0.986763480596588
"211","188_2018-02-23","NP","R2","Green",188,2018-02-23,100,0.181563067225826,-0.740972489136948
"212","280_2018-02-23","NP","R2","Green",280,2018-02-23,100,0.109578956149017,-0.960272840978157
"213","286_2018-02-23","NP","R2","Green",286,2018-02-23,100,0.0612367985342126,-1.21298752233807
"214","128_2018-02-23","NP","R2","Green and Orange",128,2018-02-23,100,0.057953623229462,-1.23691940699336
"215","225_2018-02-23","NP","R2","Green and Orange",225,2018-02-23,100,0.0346510449763476,-1.46028366377603
"216","229_2018-02-23","NP","R2","Green and Orange",229,2018-02-23,100,0.0897802964876291,-1.04681896473155
"217","155_2018-02-23","NP","R2","Orange",155,2018-02-23,100,0.0308848400812167,-1.51025464305625
"218","217_2018-02-23","Control","R2","Green and Orange",217,2018-02-23,100,0.236111901750945,-0.626882120780299
"219","166_2018-02-23","Control","R2","Red and Orange",166,2018-02-23,100,0.118383725655819,-0.926707996461624
"220","173_2018-02-23","Control","R2","Red and Orange",173,2018-02-23,100,0.157022441849457,-0.804038273228551
"221","264_2018-02-23","Control","R2","Red and Orange",264,2018-02-23,100,0.26591603314349,-0.575255476523926
"222","102_2018-02-23","Control","R2","Red and Yellow",102,2018-02-23,100,0.145545553571668,-0.837001057753756
"223","108_2018-02-23","Control","R2","Red and Yellow",108,2018-02-23,100,0.100484345838796,-0.997901590436156
"224","231_2018-02-23","Control","R2","Yellow",231,2018-02-23,100,0.144590299492864,-0.839860842712565
"225","187_2018-02-23","N","R2","Green",187,2018-02-23,100,0.104172231966326,-0.982248030661629
"226","240_2018-02-05","NP","R1","F",240,2018-02-05,82,0.873687158676794,-0.05864404743668
"227","283_2018-02-05","NP","R1","Green",283,2018-02-05,82,0.126235421550267,-0.898818765334852
"228","159_2018-02-05","NP","R1","Orange",159,2018-02-05,82,0.108569343218981,-0.964292789391766
"229","269_2018-02-05","NP","R1","Red and Orange",269,2018-02-05,82,0.607597858959038,-0.216383765164606
"230","290_2018-02-05","Control","R2","Green",290,2018-02-05,82,0.628371080958378,-0.201783810374902
"231","223_2018-02-05","Control","R2","Green and Orange",223,2018-02-05,82,0.329805803594135,-0.481741706342404
"232","270_2018-02-05","Control","R2","Red and Orange",270,2018-02-05,82,0.0674372114209867,-1.17110039641292
"233","180_2018-02-05","N","R2","Green",180,2018-02-05,82,0.160338044713271,-0.794963416830777
"234","218_2018-02-05","N","R2","Green and Orange",218,2018-02-05,82,0.153062066849362,-0.815132426540264
"235","246_2018-02-05","N","R2","Orange",246,2018-02-05,82,0.0372062472081297,-1.42938413269262
"236","129_2018-02-05","Control","R1","Green and Orange",129,2018-02-05,82,0.0795600885010101,-1.09930474244706
"237","149_2018-02-05","Control","R1","Orange",149,2018-02-05,82,0.0821092570195847,-1.08560787764435
"238","267_2018-02-05","Control","R1","Red and Orange",267,2018-02-05,82,0.428298547951695,-0.368253397977083
"239","183_2018-02-05","N","R1","Green",183,2018-02-05,82,0.71632623762605,-0.14488914119441
"240","227_2018-02-05","N","R1","Green and Orange",227,2018-02-05,82,0.876112895070457,-0.0574399274540226
"241","158_2018-02-05","N","R1","Orange",158,2018-02-05,82,0.60173020862185,-0.220598185103902
