"Time","Date","Spp","Fragment","Treatment","Replicate","YII","Sample","Genotype","Days","SampleID"
14,2018-02-07,"A.cer","A.cer_277","Ambient","R2",0.601,"2018-02-07_277","Acer_48",84,"A.cer_277_14"
14,2018-02-07,"A.cer","A.cer_284","Ambient","R2",0.592,"2018-02-07_284","Acer_48",84,"A.cer_284_14"
11,2018-01-19,"A.cer","A.cer_288","N","R1",0.628,"2018-01-19_288","Acer_48",65,"A.cer_288_11"
3,2017-10-19,"A.cer","A.cer_278","N","R2",0.58,"2017-10-19_278","Acer_48",-27,"A.cer_278_3"
5,2017-11-16,"A.cer","A.cer_285","N","R2",0.609,"2017-11-16_285","Acer_48",1,"A.cer_285_5"
2,2017-10-10,"A.cer","A.cer_285","N","R2",0.517,"2017-10-10_285","Acer_48",-36,"A.cer_285_2"
7,2017-11-29,"A.cer","A.cer_276","N+P","R1",0.641,"2017-11-29_276","Acer_48",14,"A.cer_276_7"
6,2017-11-23,"A.cer","A.cer_184","N+P","R1",0.632,"2017-11-23_184","Acer_48",8,"A.cer_184_6"
9,2017-12-13,"A.cer","A.cer_189","Ambient","R1",0.633,"2017-12-13_189","Acer_48",28,"A.cer_189_9"
15,2018-02-12,"A.cer","A.cer_284","Ambient","R2",0.57,"2018-02-12_284","Acer_48",89,"A.cer_284_15"
5,2017-11-16,"A.cer","A.cer_176","Ambient","R1",0.622,"2017-11-16_176","Acer_48",1,"A.cer_176_5"
4,2017-11-06,"A.cer","A.cer_176","Ambient","R1",0.667,"2017-11-06_176","Acer_48",-9,"A.cer_176_4"
0,2017-07-26,"A.cer","A.cer_289","N+P","R1",0.584,"2017-07-26_289","Acer_48",-112,"A.cer_289_0"
4,2017-11-06,"A.cer","A.cer_181","N+P","R2",0.673,"2017-11-06_181","Acer_48",-9,"A.cer_181_4"
8,2017-12-06,"A.cer","A.cer_181","N+P","R2",0.647,"2017-12-06_181","Acer_48",21,"A.cer_181_8"
10,2018-01-03,"A.cer","A.cer_280","N+P","R2",0.602,"2018-01-03_280","Acer_48",49,"A.cer_280_10"
11,2018-01-19,"A.cer","A.cer_286","N+P","R2",0.627,"2018-01-19_286","Acer_48",65,"A.cer_286_11"
8,2017-12-06,"A.cer","A.cer_280","N+P","R2",0.647,"2017-12-06_280","Acer_48",21,"A.cer_280_8"
3,2017-10-19,"A.cer","A.cer_181","N+P","R2",0.513,"2017-10-19_181","Acer_48",-27,"A.cer_181_3"
3,2017-10-19,"A.cer","A.cer_188","N+P","R2",0.563,"2017-10-19_188","Acer_48",-27,"A.cer_188_3"
3,2017-10-19,"A.cer","A.cer_280","N+P","R2",0.549,"2017-10-19_280","Acer_48",-27,"A.cer_280_3"
10,2018-01-03,"A.cer","A.cer_285","N","R2",0.64,"2018-01-03_285","Acer_48",49,"A.cer_285_10"
4,2017-11-06,"A.cer","A.cer_179","Ambient","R2",0.67,"2017-11-06_179","Acer_48",-9,"A.cer_179_4"
4,2017-11-06,"A.cer","A.cer_186","Ambient","R2",0.676,"2017-11-06_186","Acer_48",-9,"A.cer_186_4"
14,2018-02-07,"A.cer","A.cer_276","N+P","R1",0.62,"2018-02-07_276","Acer_48",84,"A.cer_276_14"
6,2017-11-23,"A.cer","A.cer_277","Ambient","R2",0.625,"2017-11-23_277","Acer_48",8,"A.cer_277_6"
6,2017-11-23,"A.cer","A.cer_284","Ambient","R2",0.629,"2017-11-23_284","Acer_48",8,"A.cer_284_6"
7,2017-11-29,"A.cer","A.cer_183","N","R1",0.631,"2017-11-29_183","Acer_48",14,"A.cer_183_7"
4,2017-11-06,"A.cer","A.cer_183","N","R1",0.672,"2017-11-06_183","Acer_48",-9,"A.cer_183_4"
7,2017-11-29,"A.cer","A.cer_288","N","R1",0.621,"2017-11-29_288","Acer_48",14,"A.cer_288_7"
2,2017-10-10,"A.cer","A.cer_177","N","R1",0.509,"2017-10-10_177","Acer_48",-36,"A.cer_177_2"
14,2018-02-07,"A.cer","A.cer_281","Ambient","R1",0.607,"2018-02-07_281","Acer_48",84,"A.cer_281_14"
12,2018-01-25,"A.cer","A.cer_276","N+P","R1",0.609,"2018-01-25_276","Acer_48",71,"A.cer_276_12"
15,2018-02-12,"A.cer","A.cer_276","N+P","R1",0.58,"2018-02-12_276","Acer_48",89,"A.cer_276_15"
0,2017-07-26,"A.cer","A.cer_180","N","R2",0.609,"2017-07-26_180","Acer_48",-112,"A.cer_180_0"
0,2017-07-26,"A.cer","A.cer_181","N+P","R2",0.579,"2017-07-26_181","Acer_48",-112,"A.cer_181_0"
1,2017-08-30,"A.cer","A.cer_189","Ambient","R1",0.528,"2017-08-30_189","Acer_48",-77,"A.cer_189_1"
13,2018-01-30,"A.cer","A.cer_182","Ambient","R1",0.586,"2018-01-30_182","Acer_48",76,"A.cer_182_13"
9,2017-12-13,"A.cer","A.cer_184","N+P","R1",0.637,"2017-12-13_184","Acer_48",28,"A.cer_184_9"
9,2017-12-13,"A.cer","A.cer_276","N+P","R1",0.652,"2017-12-13_276","Acer_48",28,"A.cer_276_9"
6,2017-11-23,"A.cer","A.cer_180","N","R2",0.619,"2017-11-23_180","Acer_48",8,"A.cer_180_6"
6,2017-11-23,"A.cer","A.cer_187","N","R2",0.595,"2017-11-23_187","Acer_48",8,"A.cer_187_6"
3,2017-10-19,"A.cer","A.cer_187","N","R2",0.537,"2017-10-19_187","Acer_48",-27,"A.cer_187_3"
0,2017-07-26,"A.cer","A.cer_190","N","R1",0.583,"2017-07-26_190","Acer_48",-112,"A.cer_190_0"
0,2017-07-26,"A.cer","A.cer_276","N+P","R1",0.609,"2017-07-26_276","Acer_48",-112,"A.cer_276_0"
0,2017-07-26,"A.cer","A.cer_277","Ambient","R2",0.602,"2017-07-26_277","Acer_48",-112,"A.cer_277_0"
10,2018-01-03,"A.cer","A.cer_176","Ambient","R1",0.606,"2018-01-03_176","Acer_48",49,"A.cer_176_10"
10,2018-01-03,"A.cer","A.cer_182","Ambient","R1",0.615,"2018-01-03_182","Acer_48",49,"A.cer_182_10"
16,2018-02-15,"A.cer","A.cer_182","Ambient","R1",0.59,"2018-02-15_182","Acer_48",92,"A.cer_182_16"
16,2018-02-15,"A.cer","A.cer_281","Ambient","R1",0.591,"2018-02-15_281","Acer_48",92,"A.cer_281_16"
