Time,Date,Spp,Colony,Fragment,Treatment,Replicate,YII,Sample
9,12/13/17,O.fav,31,31-39,NP,R1,0.576,31-39_2017-12-13
9,12/13/17,O.fav,31,31-40,NP,R1,0.579,31-40_2017-12-13
9,12/13/17,O.fav,34,34-4,NP,R1,0.52,34-4_2017-12-13
9,12/13/17,O.fav,34,34-9,NP,R1,0.517,34-9_2017-12-13
9,12/13/17,O.fav,34,34-22,NP,R1,0.49,34-22_2017-12-13
9,12/13/17,O.fav,6,6-40,Control,R2,0.505,6-40_2017-12-13
9,12/13/17,O.fav,6,6-85,Control,R2,0.506,6-85_2017-12-13
9,12/13/17,O.fav,6,6-116,Control,R2,0.529,6-116_2017-12-13
9,12/13/17,O.fav,20,20-3,Control,R2,0.456,20-3_2017-12-13
9,12/13/17,O.fav,20,20-4,Control,R2,0.482,20-4_2017-12-13
9,12/13/17,O.fav,20,20-21,Control,R2,0.494,20-21_2017-12-13
9,12/13/17,O.fav,31,31-13,Control,R2,0.581,31-13_2017-12-13
9,12/13/17,O.fav,31,31-24,Control,R2,0.575,31-24_2017-12-13
9,12/13/17,O.fav,31,31-46,Control,R2,0.576,31-46_2017-12-13
9,12/13/17,O.fav,34,34-8,Control,R2,0.373,34-8_2017-12-13
9,12/13/17,O.fav,34,34-11,Control,R2,0.382,34-11_2017-12-13
9,12/13/17,O.fav,34,34-23,Control,R2,0.437,34-23_2017-12-13
9,12/13/17,O.fav,6,6-12,N,R2,0.537,6-12_2017-12-13
9,12/13/17,O.fav,6,6-19,N,R2,0.515,6-19_2017-12-13
9,12/13/17,O.fav,6,6-118,N,R2,0.546,6-118_2017-12-13
9,12/13/17,O.fav,20,20-29,N,R2,0.479,20-29_2017-12-13
9,12/13/17,O.fav,20,20-41,N,R2,0.503,20-41_2017-12-13
9,12/13/17,O.fav,20,20-45,N,R2,0.502,20-45_2017-12-13
9,12/13/17,O.fav,31,31-3,N,R2,0.581,31-3_2017-12-13
9,12/13/17,O.fav,31,31-8,N,R2,0.585,31-8_2017-12-13
9,12/13/17,O.fav,31,31-10,N,R2,0.56,31-10_2017-12-13
9,12/13/17,O.fav,34,34-10,N,R2,0.476,34-10_2017-12-13
9,12/13/17,O.fav,34,34-24,N,R2,0.502,34-24_2017-12-13
9,12/13/17,O.fav,34,34-25,N,R2,0.502,34-25_2017-12-13
