Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,C.Ssid,D.Ssid,TotalSH,logC.SH,logD.SH,logSH,D.Prp,Community
N,R1,Ss_20-2,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-2_T5,0.078507894938634,0,0.078507894938634,-1.1050866673837,NA,-1.1050866673837,0,C1
N,R1,Ss_20-22,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-22_T5,0.002791280051131,0,0.002791280051131,-2.55419658824826,NA,-2.55419658824826,0,C1
N,R1,Ss_20-8,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-8_T5,0.005489558784013,0,0.005489558784013,-2.26046255998866,NA,-2.26046255998866,0,C1
N,R2,Ss_22-27,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-27_T5,0,0.023781252892896,0.023781252892896,NA,-1.62376526871911,-1.62376526871911,1,D
N,R2,Ss_22-33,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-33_T5,0,0.232950169062674,0.232950169062674,NA,-0.632736970028125,-0.632736970028125,1,D
N,R2,Ss_22-36,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-36_T5,0,0.077793945010833,0.077793945010833,NA,-1.10905420443342,-1.10905420443342,1,D
N,R2,Ss_22-41,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-41_T5,0,0.103422478321995,0.103422478321995,NA,-0.985385059402175,-0.985385059402175,1,D
N,R2,Ss_23-73,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-73_T5,0,0.061624004727926,0.061624004727926,NA,-1.21025008182685,-1.21025008182685,1,D
N,R2,Ss_23-76,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-76_T5,0,0.301334318829651,0.301334318829651,NA,-0.520951403907199,-0.520951403907199,1,D
N,R2,Ss_27-67,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-67_T5,0,0.038832693438834,0.038832693438834,NA,-1.410802485708,-1.410802485708,1,D
N,R2,Ss_27-75,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-75_T5,0,0.257509912454376,0.257509912454376,NA,-0.589206048792185,-0.589206048792185,1,D
N,R2,Ss_27-86,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-86_T5,0,0.138813006658648,0.138813006658648,NA,-0.857569838957314,-0.857569838957314,1,D
N,R2,Ss_27-97,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-97_T5,0,0.074591431020223,0.074591431020223,NA,-1.12731106092389,-1.12731106092389,1,D
N,R2,Ss_28-13,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-13_T5,0.021622064793732,0.276235847211446,0.297857912005178,-1.66510283555819,-0.558719963570817,-0.52599085923963,0.927408123396246,D
N,R2,Ss_28-21,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-21_T5,0.022503481073723,0.536803390393759,0.559306871467482,-1.64775029548102,-0.270184749872128,-0.252349845034208,0.959765412831995,D
N,R2,Ss_28-30,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-30_T5,0.102025848031281,0.016972095722033,0.118997943753314,-0.991289786716169,-1.77026452749265,-0.92446054301339,0.142625117600492,C1
N,R2,Ss_24-21,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-21_T5,0.250921221624025,0.001387920086808,0.252309141710833,-0.60046260674254,-2.85763553882168,-0.598067013760488,0.005500871182855,C3
N,R2,Ss_24-27,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-27_T5,0.159815683188515,0.001445104654897,0.161260787843413,-0.796380604321013,-2.84010070003645,-0.792471222775467,0.00896128981027,C3
N,R2,Ss_30-16,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-16_T5,0.115033514656337,0,0.115033514656337,-0.939175610865573,NA,-0.939175610865573,0,C3
N,R2,Ss_30-21,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-21_T5,1.02250201861942,0,1.02250201861942,0.009664174062667,NA,0.009664174062667,0,C3
N,R2,Ss_30-24,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-24_T5,0.131219168776077,0,0.131219168776077,-0.882002717661682,NA,-0.882002717661682,0,C3
N,R2,Ss_30-27,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-27_T5,0.128334858957948,0,0.128334858957948,-0.891655362355994,NA,-0.891655362355994,0,C3
N,R2,Ss_20-29,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-29_T5,0.009369471203092,0,0.009369471203092,-2.02828491925735,NA,-2.02828491925735,0,C1
N,R2,Ss_20-33,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-33_T5,0.004810115993243,0,0.004810115993243,-2.31784445073259,NA,-2.31784445073259,0,C1
N,R2,Ss_20-39,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-39_T5,0.007956523897264,0,0.007956523897264,-2.09927662848879,NA,-2.09927662848879,0,C1
N,R2,Ss_20-46,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-46_T5,0.006330927273681,0.001566893937779,0.00789782121146,-2.19853267539344,-2.80496039970013,-2.10249270191819,0.198395721532044,C1
N+P,R1,Ss_22-18,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-18_T5,0,0.032309034679835,0.032309034679835,NA,-1.49067601751574,-1.49067601751574,1,D
N+P,R1,Ss_22-25,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-25_T5,0,0.020435797795018,0.020435797795018,NA,-1.6896084031586,-1.6896084031586,1,D
N+P,R1,Ss_22-6,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-6_T5,0,0.020726557156691,0.020726557156691,NA,-1.68347283162671,-1.68347283162671,1,D
N+P,R1,Ss_23-56,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-56_T5,0,0.010202348591871,0.010202348591871,NA,-1.99129984166157,-1.99129984166157,1,D
N+P,R1,Ss_23-59,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-59_T5,0,0.019021872023645,0.019021872023645,NA,-1.72074674452102,-1.72074674452102,1,D
N+P,R1,Ss_23-63,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-63_T5,0.000410141249947,0.023444417469311,0.023854558719258,-3.38706654935855,-1.62996055384032,-1.62242861295808,0.982806588259566,D
N+P,R1,Ss_23-67,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-67_T5,0.000311520581997,0.016408641547803,0.0167201621298,-3.50651325445451,-1.78492737218967,-1.77675951566876,0.981368566908705,D
N+P,R1,Ss_27-18,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-18_T5,0.00033116998499,0.008753148345204,0.009084318330194,-3.47994903162084,-2.05783571120377,-2.04170765575741,0.963544872278468,D
N+P,R1,Ss_27-27,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-27_T5,0,0.007840173318633,0.007840173318633,NA,-2.10567433648726,-2.10567433648726,1,D
N+P,R1,Ss_27-46,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-46_T5,0,0.006002061379745,0.006002061379745,NA,-2.22169956760024,-2.22169956760024,1,D
N+P,R1,Ss_27-6,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-6_T5,6.88E-05,0.005603552502273,0.00567230416051,-4.1627168225284,-2.25153655460563,-2.24624048944536,0.987879412617745,D
N+P,R1,Ss_28-10,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-10_T5,0.001529991722677,0.004979787495355,0.006509779218032,-2.8153109187285,-2.30278918968284,-2.18643374046661,0.764970259138923,D
N+P,R1,Ss_28-4,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-4_T5,0.005995554496298,0.004615939457762,0.01061149395406,-2.22217064516794,-2.33573989598153,-1.97422346903647,0.434994306903969,C1
N+P,R1,Ss_28-7,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-7_T5,0.005170300759775,0.007204056584836,0.012374357344611,-2.28648419297736,-2.14242288463852,-1.90747734665191,0.582176220082535,D
N+P,R1,Ss_24-11,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-11_T5,0.060219202676914,0.002170502240107,0.062389704917022,-1.22026499899444,-2.66343976160337,-1.20488706843619,0.034789429489912,C3
N+P,R1,Ss_24-15,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-15_T5,0.027437633820349,8.64E-05,0.027524027347491,-1.56165334424352,-4.06351879492384,-1.56028801931647,0.003138840332187,C3
N+P,R1,Ss_24-5,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-5_T5,0.017445291035473,0.00186475751506,0.019310048550533,-1.75832178092807,-2.72937763394537,-1.71421663428885,0.096569281541696,C3
N+P,R1,Ss_30-10,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-10_T5,0.003985389762567,0,0.003985389762567,-2.39952919912242,NA,-2.39952919912242,0,C3
N+P,R1,Ss_30-14,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-14_T5,0.007227023315657,0,0.007227023315657,-2.14104054416882,NA,-2.14104054416882,0,C3
N+P,R1,Ss_30-3,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-3_T5,0.006968841989073,0,0.006968841989073,-2.15683938252441,NA,-2.15683938252441,0,C3
N+P,R1,Ss_30-7,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-7_T5,0.006368173880283,0,0.006368173880283,-2.19598508688211,NA,-2.19598508688211,0,C3
N+P,R1,Ss_20-17,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-17_T5,0.007821672927832,0,0.007821672927832,-2.10670034852294,NA,-2.10670034852294,0,C1
N+P,R1,Ss_20-23,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-23_T5,0.007583913588269,0,0.007583913588269,-2.12010662402858,NA,-2.12010662402858,0,C1
N+P,R1,Ss_20-3,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-3_T5,0.003957854804193,0,0.003957854804193,-2.40254014213934,NA,-2.40254014213934,0,C1
N+P,R2,Ss_22-31,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-31_T5,0,1.07966685976635,1.07966685976635,NA,0.033289770964599,0.033289770964599,1,D
N+P,R2,Ss_22-34,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-34_T5,0,0.448985255382666,0.448985255382666,NA,-0.347767920936743,-0.347767920936743,1,D
N+P,R2,Ss_22-42,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-42_T5,0,0.237422502934576,0.237422502934576,NA,-0.624478120945202,-0.624478120945202,1,D
N+P,R2,Ss_23-71,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-71_T5,0,0.041478085082045,0.041478085082045,NA,-1.38218130188517,-1.38218130188517,1,D
N+P,R2,Ss_23-81,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-81_T5,0.001511915737677,0.100241843753144,0.101753759490821,-2.82047241232807,-0.998950953940758,-0.992449535950844,0.98514142627022,D
N+P,R2,Ss_27-68,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-68_T5,0.000123263027224,0.025203433222753,0.025326696249976,-3.909167170612,-1.59854029540347,-1.59642145821507,0.995133079103293,D
N+P,R2,Ss_27-77,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-77_T5,0,0.536546897504104,0.536546897504104,NA,-0.270392312025884,-0.270392312025884,1,D
N+P,R2,Ss_27-87,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-87_T5,0,0.025623979597521,0.025623979597521,NA,-1.59135342014065,-1.59135342014065,1,D
N+P,R2,Ss_27-98,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-98_T5,0,0.031313773671299,0.031313773671299,NA,-1.50426459172945,-1.50426459172945,1,D
N+P,R2,Ss_28-14,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-14_T5,0.006593780857336,0.007198491787222,0.013792272644558,-2.18086549062194,-2.1427584864993,-1.86036416633543,0.521922091647646,D
N+P,R2,Ss_28-19,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-19_T5,0.011777682343907,0.011529303013706,0.023306985357612,-1.92894016322307,-1.93819694651719,-1.63251389667343,0.494671568922572,C1
N+P,R2,Ss_28-23,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-23_T5,0.006736157323675,0.046466946495648,0.053203103819322,-2.17158777839589,-1.33285586558142,-1.27406303063194,0.873387888297822,D
N+P,R2,Ss_24-28,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-28_T5,0.058239085957397,0.011832931959905,0.070072017917302,-1.23478544974539,-1.92690763269738,-1.15445537561717,0.168868148964536,C3
N+P,R2,Ss_30-18,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-18_T5,0.039715509701768,0,0.039715509701768,-1.4010398594209,NA,-1.4010398594209,0,C3
N+P,R2,Ss_30-22,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-22_T5,0.051740956105948,0,0.051740956105948,-1.28616555034501,NA,-1.28616555034501,0,C3
N+P,R2,Ss_30-25,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-25_T5,0.027664758759901,0,0.027664758759901,-1.55807311253462,NA,-1.55807311253462,0,C3
