Sample,TotalSH,D.Prp,Community
Ss_20-15_T5,0.006397815970639,0.013456725594282,C1
Ss_20-22_T5,0.002791280051131,0,C1
Ss_27-12_T5,0.022243770453089,0.996412547001298,D
Ss_30-13_T5,0.017479747970887,0,C3
Ss_20-3_T5,0.003957854804193,0,C1
Ss_20-17_T5,0.007821672927832,0,C1
Ss_20-23_T5,0.007583913588269,0,C1
Ss_22-6_T5,0.020726557156691,1,D
Ss_22-18_T5,0.032309034679835,1,D
Ss_22-25_T5,0.020435797795018,1,D
Ss_23-56_T5,0.010202348591871,1,D
Ss_27-21_T5,0.007536622208091,0.872237114973807,D
Ss_23-59_T5,0.019021872023645,1,D
Ss_23-63_T5,0.023854558719258,0.982806588259566,D
Ss_23-67_T5,0.0167201621298,0.981368566908705,D
Ss_27-45_T5,0.007300247673216,0.994937127451451,D
Ss_28-3_T5,0.024854502602463,0.925677348445267,D
Ss_28-6_T5,0.009878834930089,0.532743284429017,D
Ss_28-9_T5,0.184878579580648,0.950851848713644,D
Ss_30-2_T5,0.009708989042101,0,C3
Ss_30-5_T5,0.014962948483336,0,C3
Ss_30-9_T5,0.016166023476313,0,C3
Ss_24-5_T5,0.019310048550533,0.096569281541696,C3
Ss_28-7_T5,0.012374357344611,0.582176220082535,D
Ss_28-10_T5,0.006509779218032,0.764970259138923,D
Ss_30-3_T5,0.006968841989073,0,C3
Ss_30-7_T5,0.006368173880283,0,C3
Ss_30-10_T5,0.003985389762567,0,C3
Ss_30-14_T5,0.007227023315657,0,C3
Ss_20-26_T5,0.019619385325716,0,C1
Ss_20-32_T5,0.018806449688597,0,C1
Ss_20-38_T5,0.013907717668909,0,C1
Ss_20-45_T5,0.006037988203305,0,C1
Ss_22-26_T5,0.01004993476109,1,D
Ss_22-32_T5,0.035824364585735,0.977899894539437,D
Ss_22-35_T5,0.045403056045739,0.973832704794186,D
Ss_24-11_T5,0.062389704917022,0.034789429489912,C3
Ss_24-15_T5,0.027524027347491,0.003138840332187,C3
Ss_27-6_T5,0.00567230416051,0.987879412617745,D
Ss_27-18_T5,0.009084318330194,0.963544872278468,D
Ss_27-27_T5,0.007840173318633,1,D
Ss_27-46_T5,0.006002061379745,1,D
Ss_28-4_T5,0.01061149395406,0.434994306903969,C1
Ss_22-39_T5,0.457116909169053,1,D
Ss_27-85_T5,0.062728020682073,1,D
Ss_27-94_T5,0.065819741694882,1,D
Ss_28-11_T5,0.092256514333403,0.77889941834413,D
Ss_28-15_T5,0.1248399474382,0.676414795223536,D
Ss_28-20_T5,0.048521448196059,0.178186453658377,C1
Ss_28-29_T5,0.083717827486026,0.411884312207764,C1
Ss_30-15_T5,0.044476377005126,0,C3
Ss_30-20_T5,0.02042804653695,0,C3
Ss_30-23_T5,0.031491424509083,0,C3
Ss_30-26_T5,0.018865144373276,0,C3
Ss_20-29_T5,0.009369471203092,0,C1
Ss_20-33_T5,0.004810115993243,0,C1
Ss_20-39_T5,0.007956523897264,0,C1
Ss_23-75_T5,0.249881382291832,1,D
Ss_23-79_T5,0.487511994123119,1,D
Ss_24-16_T5,0.335997872147449,0.011852104876692,C3
Ss_24-19_T5,0.344294500694753,0.050928911933036,C3
Ss_24-23_T5,0.369090306791428,0.009127021643572,C3
Ss_27-57_T5,0.069597397777396,1,D
Ss_20-46_T5,0.00789782121146,0.198395721532044,C1
Ss_24-21_T5,0.252309141710833,0.005500871182855,C3
Ss_24-27_T5,0.161260787843413,0.00896128981027,C3
Ss_27-67_T5,0.038832693438834,1,D
Ss_27-75_T5,0.257509912454376,1,D
Ss_27-86_T5,0.138813006658648,1,D
Ss_27-97_T5,0.074591431020223,1,D
Ss_28-13_T5,0.297857912005178,0.927408123396246,D
Ss_22-27_T5,0.023781252892896,1,D
Ss_28-21_T5,0.559306871467482,0.959765412831995,D
Ss_28-30_T5,0.118997943753314,0.142625117600492,C1
Ss_30-16_T5,0.115033514656337,0,C3
Ss_22-33_T5,0.232950169062674,1,D
Ss_22-36_T5,0.077793945010833,1,D
Ss_22-41_T5,0.103422478321995,1,D
Ss_23-73_T5,0.061624004727926,1,D
Ss_23-76_T5,0.301334318829651,1,D
