"","Fra","Treatment","Replicate","Initial.Date","Final.Date","dBW.g","dAW.gd","MoteGen","Genotype","WB","Days","DayF","TimePoint","Nutrients","SampleID","TreatDay","NutDay"
"654","104","N+P","R2",2017-08-30,2017-10-18,4.6086,4.6139,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_104_1",NA,"0"
"655","108","A","R2",2017-08-30,2017-10-18,4.7469,4.7441,"G_50","Red and Yellow","S",-28,"-28",1,"Ambient","Ac_108_1","0","0"
"657","101","N+P","R1",2017-08-30,2017-10-18,4.5937,4.5864,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_101_1",NA,"0"
"658","105","A","R1",2017-12-15,2018-01-16,2.8675,2.8917,"G_50","Red and Yellow","S",62,"62",3,"Ambient","Ac_105_3","0","0"
"659","103","N","R2",2017-08-30,2017-10-18,3.7042,3.7037,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_103_1",NA,"0"
"660","106","N","R1",2018-01-16,2018-01-29,0.0769,0.0227,"G_50","Red and Yellow","S",75,"75",4,"Nutrients","Ac_106_4","75_N","75_Nutrients"
"661","107","N+P","R1",2017-12-15,2018-01-16,0.5832,0.6058,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_107_3","62_N+P","62_Nutrients"
"662","204","A","R1",2017-11-16,2017-12-13,3.9648,4.0149,"G_50","Red and Yellow","S",28,"28",2,"Ambient","Ac_204_2","0","0"
"663","107","N+P","R1",2017-08-30,2017-10-18,2.8517,2.8449,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_107_1",NA,"0"
"664","102","A","R2",2018-02-14,2018-02-23,0.9675,1.1502,"G_50","Red and Yellow","S",100,"100",6,"Ambient","Ac_102_6","0","0"
"665","108","A","R2",2017-12-15,2018-01-16,3.0258,3.037,"G_50","Red and Yellow","S",62,"62",3,"Ambient","Ac_108_3","0","0"
"667","102","A","R2",2017-08-30,2017-10-18,3.821,3.8183,"G_50","Red and Yellow","S",-28,"-28",1,"Ambient","Ac_102_1","0","0"
"668","204","A","R1",2018-01-16,2018-01-29,2.8866,2.9177,"G_50","Red and Yellow","S",75,"75",4,"Ambient","Ac_204_4","0","0"
"670","102","A","R2",2018-01-16,2018-01-29,2.2924,2.2848,"G_50","Red and Yellow","S",75,"75",4,"Ambient","Ac_102_4","0","0"
"671","105","A","R1",2018-01-29,2018-02-14,1.9371,1.7363,"G_50","Red and Yellow","S",91,"91",5,"Ambient","Ac_105_5","0","0"
"672","101","N+P","R1",2017-11-16,2017-12-13,2.5783,2.6244,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_101_2","28_N+P","28_Nutrients"
"673","107","N+P","R1",2017-11-16,2017-12-13,2.1535,2.199,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_107_2","28_N+P","28_Nutrients"
"674","300","N+P","R1",2017-11-16,2017-12-13,1.3392,1.3838,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_300_2","28_N+P","28_Nutrients"
"675","107","N+P","R1",2018-01-29,2018-02-14,0.1233,-0.0243,"G_50","Red and Yellow","S",91,"91",5,"Nutrients","Ac_107_5","91_N+P","91_Nutrients"
"678","108","A","R2",2018-02-14,2018-02-23,1.2089,1.392,"G_50","Red and Yellow","S",100,"100",6,"Ambient","Ac_108_6","0","0"
"679","103","N","R2",2017-11-16,2017-12-13,1.873,1.9233,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_103_2","28_N","28_Nutrients"
"680","107","N+P","R1",2018-01-16,2018-01-29,-0.2508,-0.221,"G_50","Red and Yellow","S",75,"75",4,"Nutrients","Ac_107_4","75_N+P","75_Nutrients"
"682","101","N+P","R1",2017-12-15,2018-01-16,1.0479,1.0644,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_101_3","62_N+P","62_Nutrients"
"684","109","N","R2",2017-11-16,2017-12-13,3.2422,3.2943,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_109_2","28_N","28_Nutrients"
"685","106","N","R1",2017-08-30,2017-10-18,6.5265,6.5157,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_106_1",NA,"0"
"686","105","A","R1",2018-02-14,2018-02-23,1.4547,1.6924,"G_50","Red and Yellow","S",100,"100",6,"Ambient","Ac_105_6","0","0"
"687","102","A","R2",2017-12-15,2018-01-16,2.6199,2.631,"G_50","Red and Yellow","S",62,"62",3,"Ambient","Ac_102_3","0","0"
"690","102","A","R2",2017-11-16,2017-12-13,3.8931,3.9466,"G_50","Red and Yellow","S",28,"28",2,"Ambient","Ac_102_2","0","0"
"691","108","A","R2",2017-11-16,2017-12-13,3.9722,4.0258,"G_50","Red and Yellow","S",28,"28",2,"Ambient","Ac_108_2","0","0"
"692","300","N+P","R1",2017-08-30,2017-10-18,2.2936,2.2968,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_300_1",NA,"0"
"693","110","N+P","R2",2017-08-30,2017-10-18,3.8519,3.8571,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_110_1",NA,"0"
"694","109","N","R2",2017-12-15,2018-01-16,0.2659,0.2777,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_109_3","62_N","62_Nutrients"
"697","104","N+P","R2",2018-01-29,2018-02-14,0.1202,0.0105,"G_50","Red and Yellow","S",91,"91",5,"Nutrients","Ac_104_5","91_N+P","91_Nutrients"
"699","105","A","R1",2017-11-16,2017-12-13,3.5951,3.6447,"G_50","Red and Yellow","S",28,"28",2,"Ambient","Ac_105_2","0","0"
"701","101","N+P","R1",2018-01-29,2018-02-14,0.1168,0.0176,"G_50","Red and Yellow","S",91,"91",5,"Nutrients","Ac_101_5","91_N+P","91_Nutrients"
"702","110","N+P","R2",2017-11-16,2017-12-13,2.5697,2.6272,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_110_2","28_N+P","28_Nutrients"
"704","106","N","R1",2017-12-15,2018-01-16,0.742,0.759,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_106_3","62_N","62_Nutrients"
"705","105","A","R1",2017-08-30,2017-10-18,3.5022,3.4904,"G_50","Red and Yellow","S",-28,"-28",1,"Ambient","Ac_105_1","0","0"
"706","101","N+P","R1",2018-01-16,2018-01-29,0.4235,0.4536,"G_50","Red and Yellow","S",75,"75",4,"Nutrients","Ac_101_4","75_N+P","75_Nutrients"
"707","110","N+P","R2",2018-01-16,2018-01-29,-0.13,-0.0974,"G_50","Red and Yellow","S",75,"75",4,"Nutrients","Ac_110_4","75_N+P","75_Nutrients"
"708","206","N","R1",2017-11-16,2017-12-13,2.7807,2.8465,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_206_2","28_N","28_Nutrients"
"709","110","N+P","R2",2017-12-15,2018-01-16,0.7487,0.7722,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_110_3","62_N+P","62_Nutrients"
"710","204","A","R1",2018-02-14,2018-02-23,1.9388,2.1776,"G_50","Red and Yellow","S",100,"100",6,"Ambient","Ac_204_6","0","0"
"711","204","A","R1",2017-12-15,2018-01-16,3.1673,3.1917,"G_50","Red and Yellow","S",62,"62",3,"Ambient","Ac_204_3","0","0"
"712","108","A","R2",2018-01-16,2018-01-29,3.1617,3.1541,"G_50","Red and Yellow","S",75,"75",4,"Ambient","Ac_108_4","0","0"
"713","108","A","R2",2018-01-29,2018-02-14,1.8914,1.739,"G_50","Red and Yellow","S",91,"91",5,"Ambient","Ac_108_5","0","0"
"714","206","N","R1",2017-12-15,2018-01-16,0.234,0.2563,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_206_3","62_N","62_Nutrients"
"715","206","N","R1",2017-08-30,2017-10-18,5.0989,5.0789,"G_50","Red and Yellow","S",-28,"-28",1,"Nutrients","Ac_206_1",NA,"0"
"716","102","A","R2",2018-01-29,2018-02-14,1.2903,1.1393,"G_50","Red and Yellow","S",91,"91",5,"Ambient","Ac_102_5","0","0"
"717","105","A","R1",2018-01-16,2018-01-29,2.4899,2.5208,"G_50","Red and Yellow","S",75,"75",4,"Ambient","Ac_105_4","0","0"
"718","104","N+P","R2",2017-12-15,2018-01-16,0.8468,0.8703,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_104_3","62_N+P","62_Nutrients"
"719","104","N+P","R2",2018-01-16,2018-01-29,-0.0061,0.0265,"G_50","Red and Yellow","S",75,"75",4,"Nutrients","Ac_104_4","75_N+P","75_Nutrients"
"720","106","N","R1",2017-11-16,2017-12-13,3.1437,3.2101,"G_50","Red and Yellow","S",28,"28",2,"Nutrients","Ac_106_2","28_N","28_Nutrients"
"721","204","A","R1",2018-01-29,2018-02-14,2.2765,2.0747,"G_50","Red and Yellow","S",91,"91",5,"Ambient","Ac_204_5","0","0"
"722","204","A","R1",2017-08-30,2017-10-18,4.338,4.3163,"G_50","Red and Yellow","S",-28,"-28",1,"Ambient","Ac_204_1","0","0"
"723","106","N","R1",2018-01-29,2018-02-14,-0.4641,-0.5738,"G_50","Red and Yellow","S",91,"91",5,"Nutrients","Ac_106_5","91_N","91_Nutrients"
"725","103","N","R2",2017-12-15,2018-01-16,0.2131,0.2248,"G_50","Red and Yellow","S",62,"62",3,"Nutrients","Ac_103_3","62_N","62_Nutrients"
"726","145","N+P","R1",2017-12-15,2018-01-16,0.9164,0.9392,"G_08","Yellow","S",62,"62",3,"Nutrients","Ac_145_3","62_N+P","62_Nutrients"
"728","145","N+P","R1",2017-11-16,2017-12-13,1.8468,1.892,"G_08","Yellow","S",28,"28",2,"Nutrients","Ac_145_2","28_N+P","28_Nutrients"
"729","234","N","R2",2017-12-15,2018-01-16,1.0155,1.0384,"G_08","Yellow","S",62,"62",3,"Nutrients","Ac_234_3","62_N","62_Nutrients"
"730","233","N+P","R2",2017-08-30,2017-10-18,4.4329,4.4329,"G_08","Yellow","S",-28,"-28",1,"Nutrients","Ac_233_1",NA,"0"
"731","231","A","R2",2017-11-16,2017-12-13,1.7165,1.7652,"G_08","Yellow","S",28,"28",2,"Ambient","Ac_231_2","0","0"
"733","231","A","R2",2017-12-15,2018-01-16,1.9987,2.0146,"G_08","Yellow","S",62,"62",3,"Ambient","Ac_231_3","0","0"
"734","234","N","R2",2017-08-30,2017-10-18,4.9012,4.8953,"G_08","Yellow","S",-28,"-28",1,"Nutrients","Ac_234_1",NA,"0"
"735","232","N","R2",2017-12-15,2018-01-16,0.9046,0.9274,"G_08","Yellow","S",62,"62",3,"Nutrients","Ac_232_3","62_N","62_Nutrients"
"736","143","A","R1",2018-01-16,2018-01-29,2.4623,2.4932,"G_08","Yellow","S",75,"75",4,"Ambient","Ac_143_4","0","0"
"737","232","N","R2",2017-11-16,2017-12-13,2.4779,2.5298,"G_08","Yellow","S",28,"28",2,"Nutrients","Ac_232_2","28_N","28_Nutrients"
"738","145","N+P","R1",2018-01-16,2018-01-29,0.5688,0.5989,"G_08","Yellow","S",75,"75",4,"Nutrients","Ac_145_4","75_N+P","75_Nutrients"
"739","143","A","R1",2018-01-29,2018-02-14,1.7913,1.591,"G_08","Yellow","S",91,"91",5,"Ambient","Ac_143_5","0","0"
"740","232","N","R2",2017-08-30,2017-10-18,4.3119,4.3061,"G_08","Yellow","S",-28,"-28",1,"Nutrients","Ac_232_1",NA,"0"
"741","144","N","R1",2018-01-16,2018-01-29,0.8851,0.9154,"G_08","Yellow","S",75,"75",4,"Nutrients","Ac_144_4","75_N","75_Nutrients"
"742","143","A","R1",2017-12-15,2018-01-16,2.143,2.1666,"G_08","Yellow","S",62,"62",3,"Ambient","Ac_143_3","0","0"
"747","143","A","R1",2017-08-30,2017-10-18,3.7879,3.7751,"G_08","Yellow","S",-28,"-28",1,"Ambient","Ac_143_1","0","0"
"748","233","N+P","R2",2018-01-16,2018-01-29,1.0576,1.0793,"G_08","Yellow","S",75,"75",4,"Nutrients","Ac_233_4","75_N+P","75_Nutrients"
"749","235","N+P","R2",2018-01-16,2018-01-29,0.0102,0.0317,"G_08","Yellow","S",75,"75",4,"Nutrients","Ac_235_4","75_N+P","75_Nutrients"
"750","233","N+P","R2",2018-01-29,2018-02-14,0.3694,0.2639,"G_08","Yellow","S",91,"91",5,"Nutrients","Ac_233_5","91_N+P","91_Nutrients"
"752","234","N","R2",2017-11-16,2017-12-13,2.7907,2.8431,"G_08","Yellow","S",28,"28",2,"Nutrients","Ac_234_2","28_N","28_Nutrients"
"753","231","A","R2",2018-01-16,2018-01-29,1.6014,1.6319,"G_08","Yellow","S",75,"75",4,"Ambient","Ac_231_4","0","0"
"754","143","A","R1",2017-11-16,2017-12-13,2.1374,2.1852,"G_08","Yellow","S",28,"28",2,"Ambient","Ac_143_2","0","0"
"755","235","N+P","R2",2017-12-15,2018-01-16,1.1078,1.1296,"G_08","Yellow","S",62,"62",3,"Nutrients","Ac_235_3","62_N+P","62_Nutrients"
"756","145","N+P","R1",2018-01-29,2018-02-14,0.2521,0.1042,"G_08","Yellow","S",91,"91",5,"Nutrients","Ac_145_5","91_N+P","91_Nutrients"
"757","233","N+P","R2",2017-11-16,2017-12-13,2.6383,2.6959,"G_08","Yellow","S",28,"28",2,"Nutrients","Ac_233_2","28_N+P","28_Nutrients"
"758","235","N+P","R2",2017-11-16,2017-12-13,2.6522,2.7047,"G_08","Yellow","S",28,"28",2,"Nutrients","Ac_235_2","28_N+P","28_Nutrients"
"759","144","N","R1",2017-12-15,2018-01-16,0.3183,0.3345,"G_08","Yellow","S",62,"62",3,"Nutrients","Ac_144_3","62_N","62_Nutrients"
"761","231","A","R2",2018-02-14,2018-02-23,1.3276,1.5109,"G_08","Yellow","S",100,"100",6,"Ambient","Ac_231_6","0","0"
"762","144","N","R1",2017-11-16,2017-12-13,2.3479,2.413,"G_08","Yellow","S",28,"28",2,"Nutrients","Ac_144_2","28_N","28_Nutrients"
"763","235","N+P","R2",2017-08-30,2017-10-18,4.0082,4.0082,"G_08","Yellow","S",-28,"-28",1,"Nutrients","Ac_235_1",NA,"0"
"764","231","A","R2",2017-08-30,2017-10-18,3.0166,3.0089,"G_08","Yellow","S",-28,"-28",1,"Ambient","Ac_231_1","0","0"
"767","233","N+P","R2",2017-12-15,2018-01-16,1.7367,1.7609,"G_08","Yellow","S",62,"62",3,"Nutrients","Ac_233_3","62_N+P","62_Nutrients"
"768","143","A","R1",2018-02-14,2018-02-23,2.2615,2.501,"G_08","Yellow","S",100,"100",6,"Ambient","Ac_143_6","0","0"
"769","232","N","R2",2018-01-16,2018-01-29,0.0628,0.0928,"G_08","Yellow","S",75,"75",4,"Nutrients","Ac_232_4","75_N","75_Nutrients"
"770","234","N","R2",2018-01-16,2018-01-29,0.2628,0.2929,"G_08","Yellow","S",75,"75",4,"Nutrients","Ac_234_4","75_N","75_Nutrients"
"771","231","A","R2",2018-01-29,2018-02-14,1.348,1.1724,"G_08","Yellow","S",91,"91",5,"Ambient","Ac_231_5","0","0"
