"","Fra","Treatment","Replicate","Initial.Date","Final.Date","dBW.g","dAW.gd","MoteGen","Genotype","WB","Days","DayF","TimePoint","Nutrients","SampleID","TreatDay","NutDay"
"191","226","A","R1",2018-01-16,2018-01-29,4.1429,4.068,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_226_4","0","0"
"193","129","A","R1",2017-11-16,2017-12-13,3.0337,3.0979,"G_62","Green and Orange","S",28,"28",2,"Ambient","Ac_129_2","0","0"
"194","220","A","R1",2018-01-16,2018-01-29,4.6568,4.5815,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_220_4","0","0"
"195","176","A","R1",2017-08-30,2017-10-18,1.912,1.9007,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_176_1","0","0"
"196","182","A","R1",2017-08-30,2017-10-18,3.5901,3.5801,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_182_1","0","0"
"197","189","A","R1",2017-08-30,2017-10-18,3.3182,3.3083,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_189_1","0","0"
"198","281","A","R1",2017-08-30,2017-10-18,2.8688,2.8674,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_281_1","0","0"
"199","287","A","R1",2017-08-30,2017-10-18,2.6697,2.6683,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_287_1","0","0"
"200","289","N+P","R1",2017-08-30,2017-10-18,3.1605,3.1638,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_289_1",NA,"0"
"201","278","N","R2",2018-01-29,2018-02-14,0.5972,0.4554,"G_48","Green","S",91,"91",5,"Nutrients","Ac_278_5","91_N","91_Nutrients"
"202","285","N","R2",2018-01-29,2018-02-14,0.7507,0.6085,"G_48","Green","S",91,"91",5,"Nutrients","Ac_285_5","91_N","91_Nutrients"
"205","177","N","R1",2018-01-16,2018-01-29,2.1146,2.059,"G_48","Green","S",75,"75",4,"Nutrients","Ac_177_4","75_N","75_Nutrients"
"206","183","N","R1",2018-01-16,2018-01-29,1.9951,1.9396,"G_48","Green","S",75,"75",4,"Nutrients","Ac_183_4","75_N","75_Nutrients"
