Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Of_31-25_T19,0.15932708876418,-0.797710379248154,0.029872495359315,B,Of_31-25_T19
Of_31-43_T19,0.018054105431277,-1.74342402570212,1,D,Of_31-43_T19
Of_34-24_T19,0.018543266872756,-1.7318137513228,1,D,Of_34-24_T19
Of_34-25_T19,0.037716405653123,-1.42346970192075,1,D,Of_34-25_T19
Of_20-29_T19,0.029774891901196,-1.52614980656389,1,D,Of_20-29_T19
Of_20-41_T19,0.022520762211062,-1.64741691495494,1,D,Of_20-41_T19
Of_6-12_T19,0.057258693262602,-1.24215856751451,1,D,Of_6-12_T19
Of_6-19_T19,0.083900998680965,-1.07623286969513,1,D,Of_6-19_T19
Of_31-10_T19,0.004469325967243,-2.3497579692125,0.961068580673393,D,Of_31-10_T19
Of_34-22_T19,0.034440767412031,-1.46292718012497,1,D,Of_34-22_T19
Of_34-9_T19,0.016791907044521,-1.7748999785564,1,D,Of_34-9_T19
Of_20-17_T19,0.010032340988164,-1.99859771507384,1,D,Of_20-17_T19
Of_20-34_T19,0.044921308454532,-1.34754760222565,1,D,Of_20-34_T19
Of_6-115_T19,0.051926710390832,-1.28460918952437,1,D,Of_6-115_T19
Of_6-61_T19,0.185902727380753,-0.730714238642722,1,D,Of_6-61_T19
Of_34-21_T19,0.055599814930116,-1.25492665401081,1,D,Of_34-21_T19
Of_34-32_T19,0.105855805087951,-0.975285320464273,1,D,Of_34-32_T19
Of_20-50_T19,0.100425799112163,-0.998154703797217,0.997623616607154,D,Of_20-50_T19
Of_6-49_T19,0.03336525764324,-1.47670551722096,1,D,Of_6-49_T19
Of_6-72_T19,0.093081286123155,-1.03113762460823,1,D,Of_6-72_T19
Of_34-20_T22,0.119233074467191,-0.923603257463558,0.993975799040492,D,Of_34-20_T22
Of_34-49_T22,0.061995299055953,-1.20764124068661,1,D,Of_34-49_T22
Of_20-19_T22,0.460705411515465,-0.33657668642867,1,D,Of_20-19_T22
