Spp,Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,A.Host,logA.SH,B.Host,C.Host,D.Host,TotalSH,logB.SH,logC.SH,logD.SH,logSH,D.Prp,Community
A.cer,N,R2,Ac_271,Red and Orange,2017-11-15,0,T5,Baseline,Ac_271_T5,0.731303752913466,-0.135902197852346,0,0,0,0.731303752913466,NA,NA,NA,-0.135902197852346,,A
A.cer,N,R2,Ac_278,Green,2017-11-15,0,T5,Baseline,Ac_278_T5,0.542630735170341,-0.265495610985689,0,0,0,0.542630735170341,NA,NA,NA,-0.265495610985689,,A
A.cer,N,R2,Ac_285,Green,2017-11-15,0,T5,Baseline,Ac_285_T5,0.537763100489531,-0.26940900092932,0,0,0,0.537763100489531,NA,NA,NA,-0.26940900092932,,A
A.cer,N,R2,Ac_299,Orange,2017-11-15,0,T5,Baseline,Ac_299_T5,0.025025499422766,-1.60161724674027,0,0,0,0.025025499422766,NA,NA,NA,-1.60161724674027,,A
A.cer,N+P,R1,Ac_101,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_101_T5,0.126222645449595,-0.898862721862706,0,0,0,0.126222645449595,NA,NA,NA,-0.898862721862706,,A
A.cer,N+P,R1,Ac_107,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_107_T5,0.225788305612171,-0.646298555500626,0,0,0,0.225788305612171,NA,NA,NA,-0.646298555500626,,A
A.cer,N+P,R1,Ac_118,Green and Orange,2017-11-15,0,T5,Baseline,Ac_118_T5,0.316229238607539,-0.49999797760793,0,0,0,0.316229238607539,NA,NA,NA,-0.49999797760793,,A
A.cer,N+P,R1,Ac_124,Green and Orange,2017-11-15,0,T5,Baseline,Ac_124_T5,0.370370903856221,-0.431363138596543,0,0,0,0.370370903856221,NA,NA,NA,-0.431363138596543,,A
A.cer,N+P,R1,Ac_145,Yellow,2017-11-15,0,T5,Baseline,Ac_145_T5,0.044765858706559,-1.34905308037819,0,0,0,0.044765858706559,NA,NA,NA,-1.34905308037819,,A
A.cer,N+P,R1,Ac_151,Orange,2017-11-15,0,T5,Baseline,Ac_151_T5,0.137694483903386,-0.861083457406875,0,0,0,0.137694483903386,NA,NA,NA,-0.861083457406875,,A
A.cer,N+P,R1,Ac_159,Orange,2017-11-15,0,T5,Baseline,Ac_159_T5,0.125307326213863,-0.902023536817179,0,0,0,0.125307326213863,NA,NA,NA,-0.902023536817179,,A
A.cer,N+P,R1,Ac_165,Red and Orange,2017-11-15,0,T5,Baseline,Ac_165_T5,0.290385771635873,-0.537024667074601,0,0,0,0.290385771635873,NA,NA,NA,-0.537024667074601,,A
A.cer,N+P,R1,Ac_171,Red and Orange,2017-11-15,0,T5,Baseline,Ac_171_T5,0.092946391805722,-1.03176746494835,0,0,0,0.092946391805722,NA,NA,NA,-1.03176746494835,,A
A.cer,N+P,R1,Ac_178,Green,2017-11-15,0,T5,Baseline,Ac_178_T5,0.117362439608742,-0.930470871407424,0,0,0,0.117362439608742,NA,NA,NA,-0.930470871407424,,A
A.cer,N+P,R1,Ac_184,Green,2017-11-15,0,T5,Baseline,Ac_184_T5,0.157676839665354,-0.802232093254567,0,0,0,0.157676839665354,NA,NA,NA,-0.802232093254567,,A
A.cer,N+P,R1,Ac_216,Green and Orange,2017-11-15,0,T5,Baseline,Ac_216_T5,0.160766940385272,-0.793803253375976,0,0,0,0.160766940385272,NA,NA,NA,-0.793803253375976,,A
A.cer,N+P,R1,Ac_222,Green and Orange,2017-11-15,0,T5,Baseline,Ac_222_T5,0.272068657312248,-0.565321486667014,0,0,0,0.272068657312248,NA,NA,NA,-0.565321486667014,,A
A.cer,N+P,R1,Ac_228,Green and Orange,2017-11-15,0,T5,Baseline,Ac_228_T5,0.356146488469704,-0.448371333351559,0,0,0,0.356146488469704,NA,NA,NA,-0.448371333351559,,A
